"SkyRefNumber","marketingtag"
"109614700004","CGA DATA MAY2015_Rural Character"
"184921800004","CGA DATA MAY2015_Community/Wet Led/Local"
"184784000004","CGA DATA MAY2015_Dry Led"
"184785700004","CGA DATA MAY2015_Community/Wet Led/Local"
"184775800004","CGA DATA MAY2015_Community/Wet Led/Local"
"184772500004","CGA DATA MAY2015_Dry Led"
"108938300004","CGA DATA MAY2015_Branded Food Pub"
"100016800787","CGA DATA MAY2015_Circuit Bar - Traditional Town"
"184923300004","CGA DATA MAY2015_Community/Wet Led/Local"
"180031100004","CGA DATA MAY2015_Community/Wet Led/Local"
"111965200004","CGA DATA MAY2015_Community/Wet Led/Local"
"183444300004","CGA DATA MAY2015_Rural Character"
"119873300004","CGA DATA MAY2015_Branded Food Pub"
"136444300004","CGA DATA MAY2015_Circuit Bar - Young Persons"
"137419000004","CGA DATA MAY2015_Community/Wet Led/Local"
"180150200004","CGA DATA MAY2015_Community/Wet Led/Local"
"184811400004","CGA DATA MAY2015_Community/Wet Led/Local"
"132871000004","CGA DATA MAY2015_Dry Led"
"184771900004","CGA DATA MAY2015_Dry Led"
"184780800004","CGA DATA MAY2015_Dry Led"
"103182000004","CGA DATA MAY2015_Community/Wet Led/Local"
"184782300004","CGA DATA MAY2015_Dry Led"
"111241400004","CGA DATA MAY2015_Dry Led"
"184881500004","CGA DATA MAY2015_Circuit Bar - Young Persons"
"184822400004","CGA DATA MAY2015_Community/Wet Led/Local"
"184779900004","CGA DATA MAY2015_Branded Food Pub"
"181735900004","CGA DATA MAY2015_Branded Food Pub"
"184974700004","CGA DATA MAY2015_Community/Wet Led/Local"
"115615200004","CGA DATA MAY2015_Circuit Bar - Traditional Town"
"134345300004","CGA DATA MAY2015_Community/Wet Led/Local"
"184777300004","CGA DATA MAY2015_Branded Food Pub"
"184777800004","CGA DATA MAY2015_Circuit Bar - Young Persons"
"136775600004","CGA DATA MAY2015_Dry Led"
"184801300004","CGA DATA MAY2015_Circuit Bar - Young Persons"
"137834700004","CGA DATA MAY2015_Rural Character"
"106085500004","CGA DATA MAY2015_Community/Wet Led/Local"
"184800000004","CGA DATA MAY2015_Community/Wet Led/Local"
"184786300004","CGA DATA MAY2015_Circuit Bar - Young Persons"
"111982900004","CGA DATA MAY2015_Community/Wet Led/Local"
"184820900004","CGA DATA MAY2015_Community/Wet Led/Local"
"110792500004","CGA DATA MAY2015_Community/Wet Led/Local"
"184880300004","CGA DATA MAY2015_Community/Wet Led/Local"
"184974200004","CGA DATA MAY2015_Dry Led"
"100018600348","CGA DATA MAY2015_Circuit Bar - Traditional Town"
"184800300004","CGA DATA MAY2015_Circuit Bar - Young Persons"
"118955200004","CGA DATA MAY2015_Community/Wet Led/Local"
"184983400004","CGA DATA MAY2015_Circuit Bar - Young Persons"
"107340200004","CGA DATA MAY2015_Community/Wet Led/Local"
"184876100004","CGA DATA MAY2015_Circuit Bar - Young Persons"
"130420300004","CGA DATA MAY2015_Community/Wet Led/Local"
"184825000004","CGA DATA MAY2015_Community/Wet Led/Local"
"184987600004","CGA DATA MAY2015_Dry Led"
"120343300004","CGA DATA MAY2015_Community/Wet Led/Local"
"184832600004","CGA DATA MAY2015_Branded Food Pub"
"184939000004","CGA DATA MAY2015_Dry Led"
"184888100004","CGA DATA MAY2015_Community/Wet Led/Local"
"106622600004","CGA DATA MAY2015_Dry Led"
"107203500004","CGA DATA MAY2015_Community/Wet Led/Local"
"184974100004","CGA DATA MAY2015_Community/Wet Led/Local"
"122064300004","CGA DATA MAY2015_Community/Wet Led/Local"
"184897000004","CGA DATA MAY2015_Community/Wet Led/Local"
"184829200004","CGA DATA MAY2015_Branded Food Pub"
"184930300004","CGA DATA MAY2015_Community/Wet Led/Local"
"106446800004","CGA DATA MAY2015_Community/Wet Led/Local"
"184887300004","CGA DATA MAY2015_Dry Led"
"184933900004","CGA DATA MAY2015_Community/Wet Led/Local"
"184938000004","CGA DATA MAY2015_Community/Wet Led/Local"
"184897200004","CGA DATA MAY2015_Circuit Bar - Young Persons"
"184882200004","CGA DATA MAY2015_Dry Led"
"184993100004","CGA DATA MAY2015_Community/Wet Led/Local"
"184847600004","CGA DATA MAY2015_Dry Led"
"136578200004","CGA DATA MAY2015_Community/Wet Led/Local"
"141406900004","CGA DATA MAY2015_Community/Wet Led/Local"
"140782300004","CGA DATA MAY2015_Community/Wet Led/Local"
"184835300004","CGA DATA MAY2015_Rural Character"
"102900200004","CGA DATA MAY2015_Community/Wet Led/Local"
"184886700004","CGA DATA MAY2015_Community/Wet Led/Local"
"184995800004","CGA DATA MAY2015_Dry Led"
"184905100004","CGA DATA MAY2015_Community/Wet Led/Local"
"184905200004","CGA DATA MAY2015_Dry Led"
"184898300004","CGA DATA MAY2015_Community/Wet Led/Local"
"184906100004","CGA DATA MAY2015_Community/Wet Led/Local"
"184939700004","CGA DATA MAY2015_Dry Led"
"185001900004","CGA DATA MAY2015_Circuit Bar - Traditional Town"
"184861600004","CGA DATA MAY2015_Community/Wet Led/Local"
"184861900004","CGA DATA MAY2015_Circuit Bar - Traditional Town"
"184994400004","CGA DATA MAY2015_Branded Food Pub"
"184862000004","CGA DATA MAY2015_Community/Wet Led/Local"
"183578500004","CGA DATA MAY2015_Community/Wet Led/Local"
"184844600004","CGA DATA MAY2015_Circuit Bar - Young Persons"
"184897900004","CGA DATA MAY2015_Circuit Bar - Young Persons"
"139199700004","CGA DATA MAY2015_Community/Wet Led/Local"
"129062300004","CGA DATA MAY2015_Dry Led"
"184958400004","CGA DATA MAY2015_Community/Wet Led/Local"
"185006600004","CGA DATA MAY2015_Community/Wet Led/Local"
"181707500004","CGA DATA MAY2015_Community/Wet Led/Local"
"184849900004","CGA DATA MAY2015_Community/Wet Led/Local"
"132482800004","CGA DATA MAY2015_Dry Led"
"128982700004","CGA DATA MAY2015_Community/Wet Led/Local"
"184850600004","CGA DATA MAY2015_Dry Led"
"184947200004","CGA DATA MAY2015_Community/Wet Led/Local"
"110969600004","CGA DATA MAY2015_Circuit Bar - Traditional Town"
"183220800004","CGA DATA MAY2015_Dry Led"
"184961900004","CGA DATA MAY2015_Dry Led"
"184914100004","CGA DATA MAY2015_Rural Character"
"184849600004","CGA DATA MAY2015_Community/Wet Led/Local"
"184915300004","CGA DATA MAY2015_Dry Led"
"184900100004","CGA DATA MAY2015_Community/Wet Led/Local"
"184951100004","CGA DATA MAY2015_Circuit Bar - Young Persons"
"184996400004","CGA DATA MAY2015_Rural Character"
"184903200004","CGA DATA MAY2015_Community/Wet Led/Local"
"109595100004","CGA DATA MAY2015_Community/Wet Led/Local"
"185010600004","CGA DATA MAY2015_Community/Wet Led/Local"
"125038900004","CGA DATA MAY2015_Community/Wet Led/Local"
"185007100004","CGA DATA MAY2015_Community/Wet Led/Local"
"184858800004","CGA DATA MAY2015_Dry Led"
"184863600004","CGA DATA MAY2015_Circuit Bar - Young Persons"
"116436800004","CGA DATA MAY2015_Rural Character"
"184965200004","CGA DATA MAY2015_Circuit Bar - Traditional Town"
"126886800004","CGA DATA MAY2015_Community/Wet Led/Local"
"184853300004","CGA DATA MAY2015_Rural Character"
"130592800004","CGA DATA MAY2015_Community/Wet Led/Local"
