"SkyRefNumber","marketingtag"
"185542000000","BNB_1516"
"185537000000","BNB_1516"
"185550000000","BNB_1516"
"185551000000","BNB_1516"
"107177000000","BNB_1516"
"185551000000","BNB_1516"
"185550000000","BNB_1516"
"185551000000","BNB_1516"
"107177000000","BNB_1516"
"185551000000","BNB_1516"
"126437000000","BNB_1516"
"182707000000","BNB_1516"
"131792000000","BNB_1516"
"185502000000","BNB_1516"
"185551000000","BNB_1516"
"185551000000","BNB_1516"
"185551000000","BNB_1516"
"185551000000","BNB_1516"
"114062000000","BNB_1516"
"141445000000","BNB_1516"
"185552000000","BNB_1516"
"185559000000","BNB_1516"
"185559000000","BNB_1516"
"136304000000","BNB_1516"
"185559000000","BNB_1516"
"185559000000","BNB_1516"
"185560000000","BNB_1516"
"141644000000","BNB_1516"
"135630000000","BNB_1516"
"185561000000","BNB_1516"
"121862000000","BNB_1516"
"137331000000","BNB_1516"
"185575000000","BNB_1516"
"185575000000","BNB_1516"
"185571000000","BNB_1516"
"127476000000","BNB_1516"
"116156000000","BNB_1516"
"132610000000","BNB_1516"
"185294000000","BNB_1516"
"185581000000","BNB_1516"
"185581000000","BNB_1516"
"185581000000","BNB_1516"
