"SkyRefNumber","marketingtag"
"185757800004","BNB_1516"
"111989700004","BNB_1516"
"185757900004","BNB_1516"
"127227900004","BNB_1516"
"123505500004","BNB_1516"
"183792700004","BNB_1516"
"185758000004","BNB_1516"
"134352700004","BNB_1516"
"112173300004","BNB_1516"
"182160200004","BNB_1516"
"130014000004","BNB_1516"
"106977900004","BNB_1516"
"134766400004","BNB_1516"
"185758200004","BNB_1516"
"185758400004","BNB_1516"
"181314200004","BNB_1516"
"185758500004","BNB_1516"
"185758600004","BNB_1516"
"106410800004","BNB_1516"
"185758700004","BNB_1516"
"132093800004","BNB_1516"
"107423900004","BNB_1516"
"185758800004","BNB_1516"
"185758900004","BNB_1516"
"185759100004","BNB_1516"
"185759200004","BNB_1516"
"185759300004","BNB_1516"
"135478600004","BNB_1516"
"134340700004","BNB_1516"
"110234100004","BNB_1516"
"185756600004","BNB_1516"
"185756700004","BNB_1516"
"185756800004","BNB_1516"
"185756900004","BNB_1516"
"185757000004","BNB_1516"
"185757100004","BNB_1516"
"116568900004","BNB_1516"
"110769000004","BNB_1516"
"185757200004","BNB_1516"
"185757300004","BNB_1516"
"183221700004","BNB_1516"
