"SkyRefNumber","marketingtag"
"185457800004","BNB_1516"
"111134400004","BNB_1516"
"185453000004","BNB_1516"
"126034900004","BNB_1516"
"126463100004","BNB_1516"
"183561000004","BNB_1516"
"185251200004","BNB_1516"
"129090800004","BNB_1516"
"185478500004","BNB_1516"
"185478600004","BNB_1516"
"132170300004","BNB_1516"
"185478700004","BNB_1516"
"136141300004","BNB_1516"
"185473800004","BNB_1516"
"185468500004","BNB_1516"
"185468600004","BNB_1516"
"126122500004","BNB_1516"
"185468700004","BNB_1516"
"111194500004","BNB_1516"
"184922400004","BNB_1516"
"140714600004","BNB_1516"
"185466600004","BNB_1516"
"140714600004","BNB_1516"
"185461100004","BNB_1516"
"185461200004","BNB_1516"
"185461300004","BNB_1516"
"125673600004","BNB_1516"
"135580700004","BNB_1516"
"142457000004","BNB_1516"
"132676300004","BNB_1516"
"185513400004","BNB_1516"
"110620400004","BNB_1516"
"183231000004","BNB_1516"
"185501300004","BNB_1516"
"106177600004","BNB_1516"
"141237400004","BNB_1516"
"181753100004","BNB_1516"
"107733400004","BNB_1516"
"111336300004","BNB_1516"
"185501400004","BNB_1516"
"134788900004","BNB_1516"
"107165500004","BNB_1516"
"141556500004","BNB_1516"
"185488900004","BNB_1516"
"185486600004","BNB_1516"
"185483000004","BNB_1516"
"185483100004","BNB_1516"
"184502200004","BNB_1516"
"184438900004","BNB_1516"
