AgreementID,SuspensionStartDate,SuspensionEndDate,NewSuspensionStartDate,NewSuspensionEndDate,NewSuspensionReason
00000000000000190557_00000001301479533240_00081,,,20/01/2022,05/02/2022,SUSP_REA_008
00000000000000190557_00000001301479771293_00087,,,20/01/2022,05/02/2022,SUSP_REA_008
00000000000000190616_00000001301905243974_00032,,,20/01/2022,05/02/2022,SUSP_REA_008
00000000000000190557_00000001301064513443_00001,,,20/01/2022,05/02/2022,SUSP_REA_008
00000000000000190793_00000001302010889312_00001,,,20/01/2022,05/02/2022,SUSP_REA_008
00000000000001993220_00000001519647934490_00040,,,20/01/2022,05/02/2022,SUSP_REA_008
00000000000001312202_00000001453990811677_00241,,,20/01/2022,05/02/2022,SUSP_REA_008
00000000000000875564_00000001407399390793_00103,,,20/01/2022,05/02/2022,SUSP_REA_008
00000000000002159352_00000001534947903636_00050,,,20/01/2022,05/02/2022,SUSP_REA_008
00000000000001788606_00000001500474212752_00121,,,20/01/2022,05/02/2022,SUSP_REA_008
00000000000002790186_00000001594896388272_00189,,,20/01/2022,05/02/2022,SUSP_REA_008
00000000000000873913_00000001407163724699_00279,,,20/01/2022,05/02/2022,SUSP_REA_008
00000000000000644830_00000001376572558616_00247,,,20/01/2022,05/02/2022,SUSP_REA_008
00000000000001114030_00000001433934124249_00238,,,20/01/2022,05/02/2022,SUSP_REA_008
00000000000001993462_00000001519644346296_00059,,,20/01/2022,05/02/2022,SUSP_REA_008
00000000000001995137_00000001519816290463_00033,,,20/01/2022,05/02/2022,SUSP_REA_008
00000000000001098083_00000001432282659832_00061,,,20/01/2022,05/02/2022,SUSP_REA_008
00000000000000198328_00000001310722925651_00302,,,20/01/2022,05/02/2022,SUSP_REA_008
00000000000000274572_00000001324478171924_00116,,,20/01/2022,05/02/2022,SUSP_REA_008
00000000000002481974_00000001565608981328_00123,,,20/01/2022,05/02/2022,SUSP_REA_008
00000000000000196709_00000001310480886855_00526,,,20/01/2022,05/02/2022,SUSP_REA_008
00000000000000197062_00000001310488999587_00475,,,20/01/2022,05/02/2022,SUSP_REA_008
00000000000000197186_00000001310478747184_00102,,,20/01/2022,05/02/2022,SUSP_REA_008
00000000000000197084_00000001310378811776_00003,,,20/01/2022,05/02/2022,SUSP_REA_008
00000000000000311360_00000001330271478217_00065,,,20/01/2022,05/02/2022,SUSP_REA_008
00000000000000198468_00000001310741117683_00194,,,20/01/2022,05/02/2022,SUSP_REA_008
00000000000001108126_00000001433345893983_00129,,,20/01/2022,05/02/2022,SUSP_REA_008
00000000000000430678_00000001346928203808_00033,,,20/01/2022,05/02/2022,SUSP_REA_008
00000000000000197494_00000001310564489638_00264,,,20/01/2022,05/02/2022,SUSP_REA_008
00000000000000273641_00000001324312889927_00062,,,20/01/2022,05/02/2022,SUSP_REA_008
00000000000001995928_00000001519910287047_00110,,,20/01/2022,05/02/2022,SUSP_REA_008
00000000000000258506_00000001321878416834_00116,,,20/01/2022,05/02/2022,SUSP_REA_008
00000000000000268548_00000001323446326445_00097,,,20/01/2022,05/02/2022,SUSP_REA_008
00000000000001513167_00000001475594523211_00272,,,20/01/2022,05/02/2022,SUSP_REA_008
00000000000002178606_00000001536674820795_00071,,,20/01/2022,05/02/2022,SUSP_REA_008
00000000000002484070_00000001565787929394_00065,,,20/01/2022,05/02/2022,SUSP_REA_008
00000000000000290712_00000001327136981508_00092,,,20/01/2022,05/02/2022,SUSP_REA_008
00000000000000219816_00000001314610768859_00172,,,20/01/2022,05/02/2022,SUSP_REA_008
00000000000000199990_00000001311066184961_00010,,,20/01/2022,05/02/2022,SUSP_REA_008
00000000000000200044_00000001311067771077_00106,,,20/01/2022,05/02/2022,SUSP_REA_008
00000000000000779859_00000001393930893841_00122,,,20/01/2022,05/02/2022,SUSP_REA_008
