AgreementID,SuspensionStartDate,SuspensionEndDate,NewSuspensionStartDate,NewSuspensionEndDate,NewSuspensionReason
00000000000000200508_00000001311160485382_00029,22/02/2021,03/05/2021,22/02/2021,07/05/2021,SUSP_REA_008
00000000000000200514_00000001311173694648_00333,21/09/2020,03/05/2021,21/09/2020,07/05/2021,SUSP_REA_008
00000000000000200582_00000001311160093181_00090,22/02/2021,03/05/2021,22/02/2021,07/05/2021,SUSP_REA_008
00000000000000204807_00000001311947661054_00245,07/10/2020,03/05/2021,07/10/2020,07/05/2021,SUSP_REA_008
00000000000000206507_00000001312278234117_00285,25/12/2020,03/05/2021,25/12/2020,07/05/2021,SUSP_REA_008
00000000000000207924_00000001312472669775_00104,25/12/2020,03/05/2021,25/12/2020,07/05/2021,SUSP_REA_008
00000000000000208015_00000001312472979674_00216,31/12/2020,03/05/2021,31/12/2020,07/05/2021,SUSP_REA_008
00000000000000209453_00000001312809368489_00082,25/12/2020,03/05/2021,25/12/2020,07/05/2021,SUSP_REA_008
00000000000000210547_00000001312986783262_00112,25/12/2020,03/05/2021,25/12/2020,07/05/2021,SUSP_REA_008
00000000000000211714_00000001313140946390_00084,25/12/2020,03/05/2021,25/12/2020,07/05/2021,SUSP_REA_008
00000000000000211717_00000001313144055162_00061,31/12/2020,03/05/2021,31/12/2020,07/05/2021,SUSP_REA_008
00000000000000213342_00000001313424566491_00194,07/10/2020,03/05/2021,07/10/2020,07/05/2021,SUSP_REA_008
00000000000000218075_00000001314270315605_00190,31/12/2020,03/05/2021,31/12/2020,07/05/2021,SUSP_REA_008
00000000000000218113_00000001314270094937_00128,25/12/2020,03/05/2021,25/12/2020,07/05/2021,SUSP_REA_008
00000000000000219832_00000001314618594184_00069,07/10/2020,03/05/2021,07/10/2020,07/05/2021,SUSP_REA_008
00000000000000220454_00000001314709678041_00056,25/12/2020,03/05/2021,25/12/2020,07/05/2021,SUSP_REA_008
00000000000000223040_00000001315222249110_00037,07/10/2020,03/05/2021,07/10/2020,07/05/2021,SUSP_REA_008
00000000000000224606_00000001315472559949_00002,25/12/2020,03/05/2021,25/12/2020,07/05/2021,SUSP_REA_008
00000000000000224866_00000001315567596685_00032,25/12/2020,03/05/2021,25/12/2020,07/05/2021,SUSP_REA_008
00000000000000226235_00000001315824190570_00050,31/12/2020,03/05/2021,31/12/2020,07/05/2021,SUSP_REA_008
00000000000000226333_00000001315824651137_00011,25/12/2020,03/05/2021,25/12/2020,07/05/2021,SUSP_REA_008
00000000000000226884_00000001316013219234_00346,25/12/2020,03/05/2021,25/12/2020,07/05/2021,SUSP_REA_008
00000000000000226884_00000001316013381570_00352,31/12/2020,03/05/2021,31/12/2020,07/05/2021,SUSP_REA_008
00000000000000227907_00000001316162803682_00091,22/06/2020,03/05/2021,22/06/2020,07/05/2021,SUSP_REA_008
00000000000000228333_00000001316185659183_00037,25/12/2020,03/05/2021,25/12/2020,07/05/2021,SUSP_REA_008
00000000000000230158_00000001316597850143_00033,25/12/2020,03/05/2021,25/12/2020,07/05/2021,SUSP_REA_008
00000000000000230177_00000001316603665117_00071,31/12/2020,03/05/2021,31/12/2020,07/05/2021,SUSP_REA_008
00000000000000232538_00000001317045076369_00064,25/02/2021,03/05/2021,25/02/2021,07/05/2021,SUSP_REA_008
00000000000000233063_00000001317117991118_00016,25/12/2020,03/05/2021,25/12/2020,07/05/2021,SUSP_REA_008
00000000000000233310_00000001317180575682_00010,31/12/2020,03/05/2021,31/12/2020,07/05/2021,SUSP_REA_008
00000000000000240058_00000001318503523653_00004,25/12/2020,03/05/2021,25/12/2020,07/05/2021,SUSP_REA_008
00000000000000243012_00000001319192086071_00112,07/10/2020,03/05/2021,07/10/2020,07/05/2021,SUSP_REA_008
00000000000000244595_00000001319450738356_00071,17/07/2020,03/05/2021,17/07/2020,07/05/2021,SUSP_REA_008
00000000000000246756_00000001319792525083_00019,25/12/2020,03/05/2021,25/12/2020,07/05/2021,SUSP_REA_008
00000000000000246756_00000001319794622043_00025,07/10/2020,03/05/2021,07/10/2020,07/05/2021,SUSP_REA_008
00000000000000248377_00000001320151645989_00173,08/12/2020,03/05/2021,08/12/2020,07/05/2021,SUSP_REA_008
00000000000000249985_00000001320421381572_00106,25/12/2020,03/05/2021,25/12/2020,07/05/2021,SUSP_REA_008
00000000000000253343_00000001321016090540_00070,07/10/2020,03/05/2021,07/10/2020,07/05/2021,SUSP_REA_008
00000000000000255780_00000001321442374043_00029,25/12/2020,03/05/2021,25/12/2020,07/05/2021,SUSP_REA_008
00000000000000258990_00000001321983650850_00183,25/12/2020,03/05/2021,25/12/2020,07/05/2021,SUSP_REA_008
00000000000000259530_00000001322046682447_00056,25/12/2020,03/05/2021,25/12/2020,07/05/2021,SUSP_REA_008
00000000000000260177_00000001322152923104_00326,07/10/2020,03/05/2021,07/10/2020,07/05/2021,SUSP_REA_008
00000000000000263047_00000001322644395516_00077,04/02/2021,03/05/2021,04/02/2021,07/05/2021,SUSP_REA_008
00000000000000263174_00000001322646606612_00291,04/12/2020,03/05/2021,04/12/2020,07/05/2021,SUSP_REA_008
00000000000000270778_00000001323865682556_00107,25/12/2020,03/05/2021,25/12/2020,07/05/2021,SUSP_REA_008
00000000000000275285_00000001324566431673_00212,07/12/2020,03/05/2021,07/12/2020,07/05/2021,SUSP_REA_008
00000000000000280428_00000001325609531204_00231,31/12/2020,03/05/2021,31/12/2020,07/05/2021,SUSP_REA_008
00000000000000281154_00000001325700154912_00207,25/12/2020,03/05/2021,25/12/2020,07/05/2021,SUSP_REA_008
00000000000000282172_00000001325861072011_00713,24/02/2021,03/05/2021,24/02/2021,07/05/2021,SUSP_REA_008
00000000000000288857_00000001326891247234_00129,07/10/2020,03/05/2021,07/10/2020,07/05/2021,SUSP_REA_008
00000000000000289951_00000001327073517821_00220,28/10/2020,03/05/2021,28/10/2020,07/05/2021,SUSP_REA_008
00000000000000290044_00000001327078947938_00118,25/12/2020,03/05/2021,25/12/2020,07/05/2021,SUSP_REA_008
00000000000000293463_00000001327570719734_00015,25/12/2020,03/05/2021,25/12/2020,07/05/2021,SUSP_REA_008
00000000000000293824_00000001327596847354_00007,05/12/2020,03/05/2021,05/12/2020,07/05/2021,SUSP_REA_008
00000000000000295524_00000001327918687305_00004,07/10/2020,03/05/2021,07/10/2020,07/05/2021,SUSP_REA_008
00000000000000295537_00000001327918871634_00044,07/10/2020,03/05/2021,07/10/2020,07/05/2021,SUSP_REA_008
00000000000000296021_00000001328011136353_00108,25/12/2020,03/05/2021,25/12/2020,07/05/2021,SUSP_REA_008
00000000000000296577_00000001328104102906_00228,25/12/2020,03/05/2021,25/12/2020,07/05/2021,SUSP_REA_008
00000000000000296707_00000001328110317024_00162,10/12/2020,03/05/2021,10/12/2020,07/05/2021,SUSP_REA_008
00000000000000297884_00000001328284461436_00168,25/12/2020,03/05/2021,25/12/2020,07/05/2021,SUSP_REA_008
00000000000000299941_00000001328611397842_00028,07/10/2020,03/05/2021,07/10/2020,07/05/2021,SUSP_REA_008
00000000000000300597_00000001328720235444_00091,25/12/2020,03/05/2021,25/12/2020,07/05/2021,SUSP_REA_008
00000000000000301873_00000001328886469050_00066,07/10/2020,03/05/2021,07/10/2020,07/05/2021,SUSP_REA_008
00000000000000305450_00000001329389239733_00039,01/09/2020,03/05/2021,01/09/2020,07/05/2021,SUSP_REA_008
