outletSubAccountNumber,nbaCode,action 
1.03169E+11,NBA_0006,N
1.03189E+11,NBA_0006,N
1.03202E+11,NBA_0006,N
1.03214E+11,NBA_0006,N
1.03229E+11,NBA_0006,N
1.03257E+11,NBA_0006,N
1.03288E+11,NBA_0006,N
1.0329E+11,NBA_0006,N
1.03307E+11,NBA_0006,N
1.03317E+11,NBA_0006,N
1.03321E+11,NBA_0006,N
1.03352E+11,NBA_0006,N
1.03354E+11,NBA_0006,N
1.03358E+11,NBA_0006,N
1.03401E+11,NBA_0006,N
1.03462E+11,NBA_0006,N
1.03473E+11,NBA_0006,N
1.03476E+11,NBA_0006,N
1.03488E+11,NBA_0006,N
1.03491E+11,NBA_0006,N
1.03493E+11,NBA_0006,N
1.03513E+11,NBA_0006,N
1.03524E+11,NBA_0006,N
1.03538E+11,NBA_0006,N
1.03574E+11,NBA_0006,N
1.0358E+11,NBA_0006,N
1.03599E+11,NBA_0006,N
1.03615E+11,NBA_0006,N
1.03619E+11,NBA_0006,N
1.03627E+11,NBA_0006,N
1.03666E+11,NBA_0006,N
1.03676E+11,NBA_0006,N
1.03707E+11,NBA_0006,N
1.03713E+11,NBA_0006,N
1.03758E+11,NBA_0006,N
1.0377E+11,NBA_0006,N
1.03796E+11,NBA_0006,N
1.03892E+11,NBA_0006,N
1.03902E+11,NBA_0006,N
1.03914E+11,NBA_0006,N
1.03919E+11,NBA_0006,N
1.03922E+11,NBA_0006,N
1.0408E+11,NBA_0006,N
1.04128E+11,NBA_0006,N
1.04176E+11,NBA_0006,N
1.0419E+11,NBA_0006,N
1.04193E+11,NBA_0006,N
1.042E+11,NBA_0006,N
1.042E+11,NBA_0006,N
1.04219E+11,NBA_0006,N
1.04237E+11,NBA_0006,N
1.04242E+11,NBA_0006,N
1.04293E+11,NBA_0006,N
1.04308E+11,NBA_0006,N
1.0431E+11,NBA_0006,N
1.04313E+11,NBA_0006,N
1.04315E+11,NBA_0006,N
1.04359E+11,NBA_0006,N
1.04374E+11,NBA_0006,N
1.04377E+11,NBA_0006,N
1.04388E+11,NBA_0006,N
1.04392E+11,NBA_0006,N
1.04476E+11,NBA_0006,N
1.04493E+11,NBA_0006,N
1.04498E+11,NBA_0006,N
1.04516E+11,NBA_0006,N
1.04545E+11,NBA_0006,N
1.04551E+11,NBA_0006,N
1.04591E+11,NBA_0006,N
1.04601E+11,NBA_0006,N
1.04638E+11,NBA_0006,N
1.04689E+11,NBA_0006,N
1.04689E+11,NBA_0006,N
1.0474E+11,NBA_0006,N
1.04779E+11,NBA_0006,N
1.04782E+11,NBA_0006,N
1.04784E+11,NBA_0006,N
1.04796E+11,NBA_0006,N
1.04808E+11,NBA_0006,N
1.04829E+11,NBA_0006,N
1.04838E+11,NBA_0006,N
1.04844E+11,NBA_0006,N
1.04916E+11,NBA_0006,N
1.04927E+11,NBA_0006,N
1.04939E+11,NBA_0006,N
1.04969E+11,NBA_0006,N
1.04975E+11,NBA_0006,N
1.04995E+11,NBA_0006,N
1.05E+11,NBA_0006,N
1.05017E+11,NBA_0006,N
1.05035E+11,NBA_0006,N
1.05045E+11,NBA_0006,N
1.0505E+11,NBA_0006,N
1.05063E+11,NBA_0006,N
1.05077E+11,NBA_0006,N
1.05081E+11,NBA_0006,N
1.05091E+11,NBA_0006,N
1.05098E+11,NBA_0006,N
1.05107E+11,NBA_0006,N
1.05113E+11,NBA_0006,N
1.05148E+11,NBA_0006,N
1.05161E+11,NBA_0006,N
1.05198E+11,NBA_0006,N
1.05205E+11,NBA_0006,N
1.05227E+11,NBA_0006,N
1.05233E+11,NBA_0006,N
1.05266E+11,NBA_0006,N
1.05288E+11,NBA_0006,N
1.0533E+11,NBA_0006,N
1.0535E+11,NBA_0006,N
1.05409E+11,NBA_0006,N
