Group Account Number|Outlet subAccountNumber|House Number
184539500001|100000200043|
184539500001|100000200181|
184539500001|100000200230|
184539500001|100011700473|
184539500001|100011701170|
184539500001|100013000275|
184539500001|100013000297|
184539500001|100013000336|
184539500001|100013000437|
184539500001|100013000492|
184539500001|100013000529|
184539500001|100013000547|
184539500001|100013000614|
184539500001|100013000771|
184539500001|100014800006|
184539500001|100015300425|
184539500001|100016500007|91519
184539500001|100016800059|
184539500001|100016801118|
184539500001|100017200313|
184539500001|100018000077|
184539500001|100018600498|
184539500001|100021700029|91728
184539500001|100022400006|12001
184539500001|100022400011|
184539500001|100022400093|12027
184539500001|100022400119|92019
184539500001|100025800468|
184539500001|100025800470|
184539500001|100025800473|
184539500001|100025800477|
184539500001|100025800485|
184539500001|100025800493|
184539500001|100025800498|
184539500001|100025800500|
184539500001|100032400388|
184539500001|100032400418|
184539500001|100032400433|
184539500001|100040200004|93144
184539500001|100040200005|
184539500001|100040200015|
184539500001|100040200017|93156
184539500001|100040200020|
184539500001|100040200021|
184539500001|100040200022|
184539500001|100040200024|93158
184539500001|100040200026|93199
184539500001|100040200029|
184539500001|100040200030|93257
184539500001|100040200031|
184539500001|100040200032|
184539500001|100040200033|
184539500001|100040200034|93129
184539500001|100040200037|
184539500001|100040200039|93117
184539500001|100040200041|
184539500001|100040200042|
184539500001|100040200044|93239
184539500001|100040200045|93140
184539500001|100040200046|93219
184539500001|100040200050|93112
184539500001|100040200051|93236
184539500001|100040200052|
184539500001|100040200053|
184539500001|100040200055|93141
184539500001|100040200056|
184539500001|100040200060|93133
184539500001|100040200063|
184539500001|100040200065|
184539500001|100040200067|
184539500001|100040200069|
184539500001|100040200070|
184539500001|100040200072|93218
184539500001|100040200074|
184539500001|100040200077|
184539500001|100040200078|
184539500001|100040200079|
184539500001|100040200083|93170
184539500001|100040200086|93142
184539500001|100040200088|
184539500001|100040200089|
184539500001|100040200090|93111
184539500001|100040200091|93146
184539500001|100040200092|
184539500001|100040200094|
184539500001|100040200095|93231
184539500001|100040200096|93230
184539500001|100040200097|93234
184539500001|100040200099|93164
184539500001|100040200100|
184539500001|100040200104|
184539500001|100040200105|
184539500001|100040200107|
184539500001|100040200108|
184539500001|100040200109|
184539500001|100040200110|
184539500001|100040200112|
184539500001|100040200113|
184539500001|100040200116|
184539500001|100040200119|93138
184539500001|100040200120|93127
184539500001|100040200121|
184539500001|100040200122|93151
184539500001|100040200123|93238
184539500001|100040200124|93244
184539500001|100040200127|93232
184539500001|100040200128|93174
184539500001|100040200129|93241
184539500001|100040200132|
184539500001|100040200133|
184539500001|100040200135|
184539500001|100040200137|93108
184539500001|100040200138|93153
184539500001|100040200139|93224
184539500001|100040200141|93221
184539500001|100040200142|93106
184539500001|100040200143|93121
184539500001|100040200146|
184539500001|100040200148|93105
184539500001|100044500082|
184539500001|100046100004|
184539500001|100046100005|91314
184539500001|100046100006|91317
184539500001|100046100007|
184539500001|100046100012|
184539500001|100046100014|
184539500001|100046100015|91368
184539500001|100046100017|91360
184539500001|100046100022|91358
184539500001|100046100025|
184539500001|100046100030|91373
184539500001|100046100034|91370
184539500001|100046100044|91346
184539500001|100046100050|91341
184539500001|100046100052|
184539500001|100046100057|91326
184539500001|100050700006|
184539500001|100050700007|91573
184539500001|100050700010|
184539500001|100050700014|91641
184539500001|100050700015|3590
184539500001|100050700018|
184539500001|100050700019|90822
184539500001|100050700020|
184539500001|100050700021|91330
184539500001|100050700022|91872
184539500001|100050700023|
184539500001|100050700024|
184539500001|100050700025|3733
184539500001|100050700026|
184539500001|100050700030|5438
184539500001|100050700031|3747
184539500001|100050700032|3599
184539500001|100050700033|3591
184539500001|100050700036|
184539500001|100050700040|90610
184539500001|100050700041|91653
184539500001|100050700042|
184539500001|100050700044|3620
184539500001|100050700045|4293
184539500001|100050700046|
184539500001|100050700048|91578
184539500001|100050700053|
184539500001|100050700054|3446
184539500001|100050700056|8110
184539500001|100050700058|
184539500001|100050700060|91708
184539500001|100050700063|
184539500001|100050700064|
184539500001|100050700069|
184539500001|100050700070|
184539500001|100050700071|
184539500001|100050700072|
184539500001|100050700073|90674
184539500001|100050700074|3442
184539500001|100050700078|3448
184539500001|100050700079|
184539500001|100050700080|
184539500001|100050700082|
184539500001|100050700084|5594
184539500001|100050700085|91616
184539500001|100050700086|4674
184539500001|100050700087|3463
184539500001|100050700089|3707
184539500001|100050700091|91344
184539500001|100050700092|91315
184539500001|100050700094|
184539500001|100050700095|42315
184539500001|100050700102|
184539500001|100050700103|91657
184539500001|100050700105|
184539500001|100050700106|5596
184539500001|100050700108|3727
184539500001|100050700110|
184539500001|100050700111|7115
184539500001|100050700112|4385
184539500001|100050700113|2557
184539500001|100050700114|
184539500001|100050700116|
184539500001|100050700119|91339
184539500001|100050700120|
184539500001|100050700122|4968
184539500001|100050700123|
184539500001|100050700124|2751
184539500001|100050700127|91355
184539500001|100050700129|3495
184539500001|100050700130|
184539500001|100050700132|
184539500001|100050700134|
184539500001|100050700136|91661
184539500001|100050700140|8927
184539500001|100050700145|90362
184539500001|100050700146|
184539500001|100050700147|
184539500001|100050700148|
184539500001|100050700150|2796
184539500001|100050700154|
184539500001|100050700155|91562
184539500001|100050700157|3459
184539500001|100050700158|
184539500001|100050700161|
184539500001|100050700163|3506
184539500001|100050700164|
184539500001|100050700165|
184539500001|100050700166|91701
184539500001|100050700167|
184539500001|100050700168|
184539500001|100050700169|
184539500001|100050700173|91655
184539500001|100050700174|
184539500001|100050700175|3405
184539500001|100050700178|9633
184539500001|100050700179|3960
184539500001|100050700180|
184539500001|100050700182|
184539500001|100050700183|3447
184539500001|100050700184|
184539500001|100050700185|3427
184539500001|100050700186|
184539500001|100050700188|
184539500001|100050700192|
184539500001|100050700193|
184539500001|100050700195|5287
184539500001|100050700196|
184539500001|100050700198|3643
184539500001|100050700200|3637
184539500001|100050700204|91577
184539500001|100050700205|
184539500001|100050700207|90989
184539500001|100050700208|
