Group Account Number|Outlet subAccountNumber|House Number
182584200001|118453700004|1
182584200001|123796900004|2
182584200001|116115400004|3
182584200001|135369900004|4
182584200001|102081500004|7
182584200001|103886400004|8
182584200001|135597000004|10
182584200001|126762900004|12
182584200001|180805800012|13
182584200001|136519800004|14
182584200001|139441200004|15
182584200001|106440700004|16
182584200001|111783100004|17
182584200001|130263700004|18
182584200001|105116600004|19
182584200001|184397400004|20
182584200001|104464600004|21
182584200001|103642300004|22
182584200001|130705200004|23
182584200001|118911400004|24
182584200001|101039800004|25
182584200001|181439700004|26
182584200001|120836200004|27
182584200001|109667400004|28
182584200001|103400700004|29
182584200001|184659500004|30
182584200001|106441100004|32
182584200001|120340900004|33
182584200001|135596100004|34
182584200001|136318100004|35
182584200001|125461000004|37
182584200001|140875600004|38
182584200001|184328400004|39
182584200001|125346400004|40
182584200001|116405900004|41
182584200001|131050500004|42
182584200001|122510500004|44
182584200001|100904400004|45
182584200001|112005100004|47
182584200001|104687400004|48
182584200001|180805800005|49
182584200001|105553600004|51
182584200001|182831600004|54
182584200001|123798700004|55
182584200001|101869800004|56
182584200001|102951100004|57
182584200001|122424700004|58
182584200001|104130100004|59
182584200001|120633700004|60
182584200001|100752500004|62
182584200001|100859000004|63
182584200001|105355000004|64
182584200001|182831800004|65
182584200001|130473800004|66
182584200001|109195700004|67
182584200001|102273300004|68
182584200001|180805800009|71
182584200001|183719800004|72
182584200001|102310000004|73
182584200001|123896500004|75
182584200001|101399100004|76
182584200001|117412700004|77
182584200001|126102000004|79
182584200001|111308500004|80
182584200001|108957700004|81
182584200001|103166000004|83
182584200001|139327600004|85
182584200001|117038700004|86
182584200001|115033700004|87
182584200001|132149200004|88
182584200001|130529000004|90
182584200001|111282900004|93
182584200001|133347000004|95
182584200001|112120800004|96
182584200001|120308100004|97
182584200001|180157100004|98
182584200001|104135700004|99
182584200001|128019500004|101
182584200001|119632500004|103
182584200001|104525200004|104
182584200001|102283100004|105
182584200001|101805100004|106
182584200001|136298700004|107
182584200001|131828100004|108
182584200001|100038600191|
182584200001|100062500018|
182584200001|100318800004|
182584200001|100961300004|
182584200001|102023300004|
182584200001|102046300004|
182584200001|102895400004|
182584200001|103160600004|
182584200001|103218400004|
182584200001|104135100004|
182584200001|104941200004|
182584200001|120331800004|
182584200001|124312700004|
182584200001|132466300004|
182584200001|135370000004|
182584200001|137570200004|
182584200001|180133600004|
182584200001|180562500004|
182584200001|180805800015|
182584200001|180805800017|
182584200001|180805800022|
182584200001|180805800024|
182584200001|180805800025|
182584200001|180805800026|
182584200001|181405100004|
182584200001|181409100004|
182584200001|182354900004|
182584200001|182428000004|
182584200001|182513200004|
182584200001|182521400004|
182584200001|182598800004|
182584200001|182748500004|
182584200001|182999000004|
182584200001|182999400004|
182584200001|183087400004|
182584200001|183108500004|
182584200001|183477200004|
182584200001|183675600004|
182584200001|183703900004|
182584200001|183787400004|
182584200001|183795100004|
182584200001|183848900004|
182584200001|183862300004|
182584200001|184383600004|
182584200001|184626300004|
182584200001|184832100004|
182584200001|184930300004|
182584200001|185066000004|
182584200001|185086900004|
182584200001|185095100004|
182584200001|185141800004|
182584200001|185346400004|
