Group Account Number|Outlet subAccountNumber|House Number
182153100001|100000200311|185488
182153100001|100011700140|
182153100001|100012100009|
182153100001|100012100010|512411
182153100001|100012100015|
182153100001|100013300009|
182153100001|100014800113|
182153100001|100015300798|
182153100001|100015300818|371870
182153100001|100016500013|
182153100001|100016500015|
182153100001|100016800422|
182153100001|100016801090|
182153100001|100018000055|
182153100001|100018000120|
182153100001|100018000121|
182153100001|100018600270|
182153100001|100018600783|
182153100001|100018800013|370776
182153100001|100019300011|
182153100001|100019300012|
182153100001|100019300015|902407
182153100001|100019300035|
182153100001|100019300041|
182153100001|100019300043|
182153100001|100019300044|
182153100001|100022500004|
182153100001|100022500008|
182153100001|100022500014|300239
182153100001|100022500015|
182153100001|100022500022|
182153100001|100022500030|
182153100001|100022500032|
182153100001|100022500033|202397
182153100001|100022500035|
182153100001|100022500040|
182153100001|100022500041|
182153100001|100022500043|
182153100001|100022500044|
182153100001|100022500045|
182153100001|100022500048|201565
182153100001|100022500051|203080
182153100001|100022500055|
182153100001|100022500058|
182153100001|100022500059|
182153100001|100022500060|201234
182153100001|100022500063|
182153100001|100022500065|
182153100001|100022500066|
182153100001|100022500067|
182153100001|100022500069|401654
182153100001|100022500070|202964
182153100001|100022500098|
182153100001|100022500103|897087
182153100001|100022500104|
182153100001|100022500110|
182153100001|100022500125|
182153100001|100022500141|701122
182153100001|100022500146|
182153100001|100022500151|
182153100001|100022500152|
182153100001|100022500159|904017
182153100001|100022500174|
182153100001|100022500193|
182153100001|100022500201|
182153100001|100022500202|
182153100001|100022500205|700960
182153100001|100022500210|
182153100001|100022500212|896796
182153100001|100022500216|
182153100001|100022500217|
182153100001|100022500221|
182153100001|100022500222|
182153100001|100022500224|700699
182153100001|100022500231|
182153100001|100022500234|
182153100001|100022500235|
182153100001|100022500243|
182153100001|100022500244|
182153100001|100022500249|200814
182153100001|100022500250|
182153100001|100022500251|896561
182153100001|100022500254|867149
182153100001|100022500255|
182153100001|100022500256|
182153100001|100022500257|
182153100001|100022500261|
182153100001|100022500265|201653
182153100001|100022500266|
182153100001|100022500267|201430
182153100001|100022500268|680068
182153100001|100022500279|
182153100001|100022500281|
182153100001|100022500287|680028
182153100001|100022500288|670067
182153100001|100022500289|670005
182153100001|100022500291|670026
182153100001|100022500292|896433
182153100001|100022500293|
182153100001|100022500296|
182153100001|100022500297|
182153100001|100022500301|680007
182153100001|100022500304|670008
182153100001|100022500305|670010
182153100001|100022500306|670040
182153100001|100022500307|670004
182153100001|100022500308|670001
182153100001|100022500309|670006
182153100001|100022500310|897835
182153100001|100022500311|670012
182153100001|100022500312|670017
182153100001|100022500314|670021
182153100001|100022500315|670069
182153100001|100022500317|680020
182153100001|100022500318|
182153100001|100022500319|670018
182153100001|100022500320|670013
182153100001|100022500321|670014
182153100001|100022500322|670016
182153100001|100022500323|670015
182153100001|100022500324|680019
182153100001|100022500325|670023
182153100001|100022500326|680037
182153100001|100022500327|
182153100001|100022500328|670024
182153100001|100022500331|680029
182153100001|100022500332|670003
182153100001|100022500333|
182153100001|100022500334|
182153100001|100022500335|680154
182153100001|100022500336|680031
182153100001|100022500337|670033
182153100001|100022500339|670034
