Group Account Number|Outlet subAccountNumber|House Number
182342100001|114283400004|T00094
182342100001|181602900004|T00192
182342100001|121551700004|T00347
182342100001|183740800004|T00205
182342100001|116984400004|T01330
182342100001|100014800006|T01918
182342100001|116023400004|T01332
182342100001|136357100004|T01325
182342100001|112877000004|T01327
182342100001|112357800004|T01130
182342100001|104026900004|T01324
182342100001|123890600004|T01172
182342100001|103475000004|T01141
182342100001|135304000004|T01174
182342100001|101038500004|T01165
182342100001|105912400004|T01127
182342100001|129530700004|T01179
182342100001|112248100004|T01176
182342100001|140415600004|T01326
182342100001|183016600004|T01910
182342100001|110794800004|T00359
182342100001|142234300004|T00087
182342100001|142148600004|T00157
182342100001|135508100004|T00296
182342100001|134228300004|T00151
182342100001|141647500004|T00045
182342100001|120742400004|T00316
182342100001|135263700004|T00293
182342100001|105696200004|T00184
182342100001|129944500004|T00089
182342100001|135539400004|T00276
182342100001|132823300004|T00177
182342100001|137914900004|T00189
182342100001|134657700004|T00072
182342100001|132477700004|T00320
182342100001|136395700004|T00159
182342100001|129297600004|T00076
182342100001|142607800004|T00311
182342100001|131055400004|T00107
182342100001|117438300004|T00006
182342100001|132165900004|T00246
182342100001|137875300004|T00252
182342100001|125924000004|T00161
182342100001|123698600004|T00353
182342100001|120454600004|T00105
182342100001|139361200004|T00255
182342100001|132033700004|T00249
182342100001|117806100004|T00025
182342100001|112364600004|T00280
182342100001|132875200004|T00011
182342100001|107918000004|T00224
182342100001|181565400004|T01903
182342100001|131920200004|T01915
182342100001|136112200004|T00287
182342100001|134325600004|T00182
182342100001|119522100004|T00058
182342100001|112402500004|T00333
182342100001|142010300004|T00084
182342100001|110975200004|T00297
182342100001|103026100004|T01173
182342100001|139109700004|T01159
182342100001|120117100004|T01149
182342100001|102992600004|T01112
182342100001|142715000004|T01128
182342100001|102921300004|T01157
182342100001|116568900004|T01122
182342100001|102570100004|T01123
182342100001|139944700004|T01129
182342100001|184429500004|T01132
182342100001|135198900004|T01158
182342100001|132764200004|T01145
182342100001|104518100004|T01148
182342100001|137175400004|T01153
182342100001|121106800004|T01138
182342100001|107128500004|T01117
182342100001|105820200004|T01160
182342100001|104107800004|T01156
182342100001|117070000004|T01178
182342100001|101628500004|T01113
182342100001|136712500004|T01146
182342100001|101793200004|T01124
182342100001|184330900004|T01114
182342100001|103052800004|T01111
182342100001|128546700004|T01162
182342100001|115774800004|T01151
182342100001|127571000004|T01125
182342100001|121023800004|T01168
182342100001|123833700004|T01147
182342100001|107244100004|T01331
182342100001|140299500004|T01101
182342100001|106882500004|T01142
182342100001|109484700004|T01144
182342100001|131312100004|T01328
182342100001|102058300004|T01110
182342100001|106312600004|T01116
182342100001|142385800004|T01161
182342100001|102529200004|T01175
182342100001|100888100004|T01329
182342100001|129269600004|T00223
182342100001|102628300004|T00344
182342100001|104270800004|T00339
182342100001|119240400004|T00139
182342100001|137815900004|T00160
182342100001|104411000004|T00047
182342100001|137483800004|T00040
182342100001|125885900004|T00019
182342100001|100038900014|T00009
182342100001|100038900010|T00013
182342100001|127837100004|T00064
182342100001|119193800004|T01906
182342100001|126828900004|T00354
182342100001|105926300004|T01916
182342100001|110029300004|T00290
182342100001|107032100004|T00144
182342100001|101231800004|T00301
182342100001|106244400004|T00356
182342100001|127908400004|T00225
182342100001|107127500004|T00315
182342100001|122911200004|T00277
182342100001|182134000004|T01900
182342100001|130497900004|T00318
182342100001|185075500004|T00214
182342100001|139173300004|T00128
182342100001|103458100004|T00055
182342100001|121998500004|T00127
182342100001|103205900004|T00117
182342100001|110328200004|T00308
182342100001|181734400004|T00357
182342100001|183157800004|T00352
182342100001|122072200004|T00046
182342100001|183608000004|T00123
182342100001|180955500004|T00355
182342100001|180913200004|T00142
182342100001|118614700002|T00066
182342100001|126179600004|T00116
182342100001|110126600004|T00222
182342100001|107055500004|T00298
182342100001|105230300004|T00001
182342100001|100038900008|T00005
182342100001|131422800004|T00014
182342100001|100038900009|T00015
182342100001|118943900004|T00053
182342100001|117434800004|T00242
182342100001|104570000004|T00186
182342100001|103381100004|T00096
182342100001|100889300004|T00209
182342100001|182757800004|T00283
182342100001|137204900004|T00124
182342100001|140097900004|T00112
182342100001|112819800004|T00070
182342100001|140098800004|T00073
182342100001|115113100004|T00068
182342100001|142022100004|T00266
182342100001|104402700004|T00309
182342100001|103595900004|T00145
182342100001|135211000004|T00152
182342100001|101482400004|T00093
182342100001|122509200004|T00273
182342100001|100451000004|T00043
182342100001|101495400004|T00323
182342100001|142160200004|T00126
182342100001|134064800004|T00153
182342100001|102653100004|T00304
182342100001|103317000004|T00106
182342100001|139777400004|T00067
182342100001|119833700004|T00226
182342100001|139684600004|T00295
182342100001|180087200004|T00168
182342100001|106751000004|T00052
