Group Account Number|Outlet subAccountNumber|House Number
184539500001|100014800006|17110
184539500001|100016500007|91519
184539500001|100022500345|2592
184539500001|100046100015|91368
184539500001|100050700319|91584
184539500001|100050700662|91722
184539500001|100050700664|91722
184539500001|100050700738|16016
184539500001|100050700806|90615
184539500001|100050700867|40149
184539500001|100062500041|31029
184539500001|100113100004|40268
184539500001|100297000004|4774
184539500001|100345400004|42105
184539500001|100433900004|91456
184539500001|100879300004|40252
184539500001|100947500004|3808
184539500001|101214400004|91457
184539500001|101748400004|91368
184539500001|101779700004|91650
184539500001|101821300004|16207
184539500001|102091500004|40021
184539500001|102412800004|1481
184539500001|102659100004|15368
184539500001|103153400004|40049
184539500001|103365200004|90387
184539500001|103412400004|6952
184539500001|103524500004|90203
184539500001|103688900004|4158
184539500001|103746800004|91074
184539500001|103921500004|40921
184539500001|104043500004|15363
184539500001|104773400004|40252
184539500001|104824400004|15352
184539500001|104840600004|40658
184539500001|105081100004|16314
184539500001|105206000004|17085
184539500001|105406000004|90937
184539500001|105430800004|2750
184539500001|105458900004|40899
184539500001|105490700004|4158
184539500001|105540600004|5316
184539500001|105760200004|4049
184539500001|105820300004|40110
184539500001|105936600004|91368
184539500001|105942800004|3798
184539500001|105999100004|91343
184539500001|106010100004|1481
184539500001|106081800004|16252
184539500001|106328400004|92029
184539500001|106569100004|92023
184539500001|107528000004|40116
184539500001|107700000016|15344
184539500001|109020900004|16075
184539500001|109151400004|2675
184539500001|109272400004|15225
184539500001|110627600004|40950
184539500001|111232400004|17101
184539500001|111353000004|15071
184539500001|111852800004|12105
184539500001|112039700004|16256
184539500001|112095400004|3517
184539500001|112746900004|41015
184539500001|112900300004|15224
184539500001|115189400004|15501
184539500001|116222300004|585
184539500001|116557600004|15356
184539500001|116829600004|40300
184539500001|117194900004|3458
184539500001|117282200004|17112
184539500001|117452500004|17075
184539500001|118872000004|15296
184539500001|121515600004|5543
184539500001|121670300004|2593
184539500001|122778000004|91410
184539500001|123699500004|15204
184539500001|125744700004|15206
184539500001|125756200004|91659
184539500001|125830800004|4458
184539500001|125890900004|2246
184539500001|126254600004|16143
184539500001|127621300004|16040
184539500001|129159200004|17075
184539500001|129366900004|2607
184539500001|129933300004|3826
184539500001|130506700004|40261
184539500001|130858900004|91444
184539500001|131317600004|40241
184539500001|131917300004|17090
184539500001|132015300004|15227
184539500001|132271300004|15420
184539500001|132602100004|12101
184539500001|132925800004|40125
184539500001|132955200004|16076
184539500001|133626400004|40015
184539500001|133801400004|15406
184539500001|134110100004|2821
184539500001|134229700004|40129
184539500001|134586900004|40632
184539500001|134669800004|5026
184539500001|135900800004|41031
184539500001|136249200004|40305
184539500001|136546800004|17078
184539500001|136588700004|7527
184539500001|136841700004|16056
184539500001|136846700004|40036
184539500001|137284300004|41024
184539500001|139554900004|90498
184539500001|140103800004|16099
184539500001|140964000004|16272
184539500001|141209800004|3706
184539500001|141330000004|17086
184539500001|141502700004|40072
184539500001|142055600004|17008
184539500001|142202200004|8157
184539500001|142309000004|15182
184539500001|142331400004|17118
184539500001|142592800004|16221
184539500001|180218200004|2453
184539500001|180308300004|16254
184539500001|180376500004|17042
184539500001|180471200004|16229
184539500001|180519600004|8890
184539500001|180732400004|91340
184539500001|180745000004|40900
184539500001|180754500004|2592
184539500001|180850800004|40017
184539500001|180946300004|90499
184539500001|181209700004|90961
184539500001|181264900004|90873
184539500001|181345700004|17010
184539500001|181363700004|40909
184539500001|181373100004|4101
184539500001|181400101876|2592
184539500001|181451800004|41029
184539500001|181473200010|91883
184539500001|182021800004|16228
184539500001|182087300004|90493
184539500001|182097200004|40920
184539500001|182129100004|40673
184539500001|182163600004|15416
184539500001|182406000004|16225
184539500001|182491500004|17127
184539500001|182650500004|40118
184539500001|182680700004|15289
184539500001|182683100027|42319
184539500001|182683100037|6772
184539500001|182724100004|4321
184539500001|182747900004|17062
184539500001|182782900004|15534
184539500001|182852300004|31029
184539500001|182879300004|4021
184539500001|182880700004|40271
184539500001|182893200004|90358
184539500001|182921600004|4055
184539500001|183052100004|3500
184539500001|183154300004|90500
184539500001|183485300004|15309
184539500001|183532800004|40652
184539500001|183712100004|8141
184539500001|183750900004|9777
184539500001|183790800004|40253
184539500001|183820000004|90526
184539500001|183843500004|16129
184539500001|183844500004|90134
184539500001|183881100004|16248
184539500001|183897700004|5247
184539500001|183927600004|5274
184539500001|183982700004|17019
184539500001|184060100004|16103
184539500001|184062300004|17117
184539500001|184175500004|90797
184539500001|184198500004|90182
184539500001|184199000004|40123
184539500001|184236000004|31015
184539500001|184241800004|40919
184539500001|184249100004|16240
184539500001|184250300004|40301
184539500001|184252200004|9745
184539500001|184276600004|40110
184539500001|184317300004|16092
184539500001|184359200004|42317
184539500001|184386000004|15298
184539500001|184425500004|91408
184539500001|184457600004|40029
184539500001|184497500004|4769
184539500001|184591400004|17050
184539500001|184622300004|17113
184539500001|184681500004|16120
184539500001|184685500004|40920
184539500001|184753200004|91340
184539500001|184910400004|91456
184539500001|184966400004|15448
184539500001|184991900004|16070
184539500001|185019700004|40083
184539500001|185082700004|40118
184539500001|185119900004|3922
184539500001|185204000004|42235
184539500001|185216200004|42307
184539500001|185218900004|40136
184539500001|185240300004|40118
184539500001|185285600004|91650
184539500001|185322300004|9777
184539500001|185352600004|16103
184539500001|185397000004|2592
184539500001|185402800004|2349
184539500001|185412700004|91189
184539500001|185452700004|17019
184539500001|185467100004|2367
184539500001|185548600004|91584
184539500001|185560400004|91403
184539500001|185574700004|42119
184539500001|185593800004|15319
184539500001|185599100004|16228
184539500001|185714900004|32013
184539500001|185753200004|17057
184539500001|185753300004|17057
184539500001|185799100004|92013
184539500001|185844000004|91414
184539500001|185948100004|16085
