SubAccountNumber,EscalatedNote,Action
104228800004,"""PROFORMA CUSTOMER:  Billing paused Lockdown credits to be posted on customer account""",1
104265200004,"""PROFORMA CUSTOMER:  Billing paused Lockdown credits to be posted on customer account""",1
104265400004,"""DO NOT REBILL:  Technical issue on the account.  Tech teams engaged""",1
104276600004,"""PROFORMA CUSTOMER:  Billing paused Lockdown credits to be posted on customer account""",1
104295800004,"""DO NOT REBILL:  Technical issue on the account.  Tech teams engaged""",1
104391700004,"""PROFORMA CUSTOMER:  Billing paused Lockdown credits to be posted on customer account""",1
104450600004,"""DO NOT REBILL:  Technical issue on the account.  Tech teams engaged""",1
104501800004,"""PROFORMA CUSTOMER:  Billing paused Lockdown credits to be posted on customer account""",1
104506200004,"""PROFORMA CUSTOMER:  Billing paused Lockdown credits to be posted on customer account""",1
104509400004,"""DO NOT REBILL:  Technical issue on the account.  Tech teams engaged""",1
104592500004,"""DO NOT REBILL:  Technical issue on the account.  Tech teams engaged""",1
104604600004,"""PROFORMA CUSTOMER:  Billing paused Lockdown credits to be posted on customer account""",1
104627300004,"""DO NOT REBILL:  Technical issue on the account.  Tech teams engaged""",1
104711400004,"""DO NOT REBILL:  Technical issue on the account.  Tech teams engaged""",1
104736300004,"""PROFORMA CUSTOMER:  Billing paused Lockdown credits to be posted on customer account""",1
104745600004,"""PROFORMA CUSTOMER:  Billing paused Lockdown credits to be posted on customer account""",1
104753500004,"""DO NOT REBILL:  Technical issue on the account.  Tech teams engaged""",1
104766800004,"""PROFORMA CUSTOMER:  Billing paused Lockdown credits to be posted on customer account""",1
104792000004,"""PROFORMA CUSTOMER:  Billing paused Lockdown credits to be posted on customer account""",1
104820500004,"""PROFORMA CUSTOMER:  Billing paused Lockdown credits to be posted on customer account""",1
104864400004,"""PROFORMA CUSTOMER:  Billing paused Lockdown credits to be posted on customer account""",1
104932000004,"""PROFORMA CUSTOMER:  Billing paused Lockdown credits to be posted on customer account""",1
104984900004,"""PROFORMA CUSTOMER:  Billing paused Lockdown credits to be posted on customer account""",1
105018000004,"""PROFORMA CUSTOMER:  Billing paused Lockdown credits to be posted on customer account""",1
105018900004,"""PROFORMA CUSTOMER:  Billing paused Lockdown credits to be posted on customer account""",1
105113300004,"""PROFORMA CUSTOMER:  Billing paused Lockdown credits to be posted on customer account""",1
105143400004,"""PROFORMA CUSTOMER:  Billing paused Lockdown credits to be posted on customer account""",1
