101805400004,13700,,,01/08/2016,,,,,,13700,,,N,Price Review 2016
101805500004,10000,,,01/08/2016,,,,,,10000,,,N,Price Review 2016
101843200004,10500,,,01/08/2016,,,,,,10500,,,N,Price Review 2016
101855700004,19200,,,01/08/2016,,,,,,19200,,,N,Price Review 2016
101865800004,10000,,,01/08/2016,,,,,,10000,,,N,Price Review 2016
101869700004,10000,,,01/08/2016,,,,,,10000,,,N,Price Review 2016
101879600004,72100,,,01/08/2016,,,,,,72100,,,N,Price Review 2016
101889500004,13200,,,01/08/2016,,,,,,9301,13200,,N,Price Review 2016
101910900004,12500,,,01/08/2016,,,,,,12500,,,N,Price Review 2016
101928100004,7500,,,01/08/2016,,,,,,7500,,,N,Price Review 2016
101930900004,15000,,,01/08/2016,,,,,,7451,9301,15000,N,Price Review 2016
101975000004,24300,,,01/08/2016,,,,,,11901,15001,24300,N,Price Review 2016
101981000004,22500,,,01/08/2016,,,,,,15001,22500,,N,Price Review 2016
101983200004,22400,,,01/08/2016,,,,,,9301,22400,22400,N,Price Review 2016
101986400004,11200,,,01/08/2016,,,,,,11200,,,N,Price Review 2016
101988000004,8800,,,01/08/2016,,,,,,8800,,,N,Price Review 2016
101998700004,8000,,,01/08/2016,,,,,,4301,5751,8000,N,Price Review 2016
102002800004,8500,,,01/08/2016,,,,,,8500,,,N,Price Review 2016
102011400004,7500,,,01/08/2016,,,,,,7500,,,N,Price Review 2016
102016700004,37100,,,01/08/2016,,,,,,37100,,,N,Price Review 2016
102020200004,25500,,,01/08/2016,,,,,,25500,,,N,Price Review 2016
102042100004,40000,,,01/08/2016,,,,,,40000,,,N,Price Review 2016
102044400004,8800,,,01/08/2016,,,,,,8800,,,N,Price Review 2016
102060900004,16800,,,01/08/2016,,,,,,16800,,,N,Price Review 2016
102104400004,27900,,,01/08/2016,,,,,,27900,,,N,Price Review 2016
102114100004,2650,,,01/08/2016,,,,,,2650,,,N,Price Review 2016
102125600004,7500,,,01/08/2016,,,,,,7500,,,N,Price Review 2016
102165800004,3650,,,01/08/2016,,,,,,3650,,,N,Price Review 2016
102168300004,7500,,,01/08/2016,,,,,,7500,,,N,Price Review 2016
102201500004,2500,,,01/08/2016,,,,,,2500,,,N,Price Review 2016
102238700004,9450,,,01/08/2016,,,,,,7451,9450,,N,Price Review 2016
102262400004,7250,,,01/08/2016,,,,,,7250,,,N,Price Review 2016
102268800004,12500,,,01/08/2016,,,,,,12500,,,N,Price Review 2016
102292500004,2000,,,01/08/2016,,,,,,2000,,,N,Price Review 2016
102340100004,9650,,,01/08/2016,,,,,,9650,,,N,Price Review 2016
102343200004,7500,,,01/08/2016,,,,,,4301,7500,,N,Price Review 2016
102372500004,12000,,,01/08/2016,,,,,,9301,12000,,N,Price Review 2016
102397600004,5000,,,01/08/2016,,,,,,5000,,,N,Price Review 2016
