Sky Ref Number,Outlet Type,Food Offering,BT Sports Pub,Preferential Sports,Number of TVs,Carling,Molson Coors
105642000004,Local Pub – Dry Led,everyday traditional,No,,1,No,
107074000004,Local Pub – Dry Led,everyday traditional,No,,1,Yes,Wholesale
105810600004,Local Pub – Dry Led,everyday traditional,No,,1,No,
100015300722,Local Pub – Dry Led,everyday traditional,Yes,,1,No,
100011700378,Local Pub – Dry Led,everyday traditional,Yes,,1,No,
125473100004,Local Pub – Dry Led,everyday traditional,Yes,,1,No,
100018600854,Local Pub – Dry Led,everyday traditional,Yes,,1,No,
123776400004,Local Pub – Dry Led,everyday traditional,No,,0,No,
180070300004,Local Pub – Dry Led,everyday traditional,No,,1,No,
100051400104,Local Pub – Dry Led,everyday traditional,Yes,,1,No,
181286300020,Local Pub – Dry Led,everyday traditional,No,,1,No,
104121600004,Local Pub – Dry Led,everyday traditional,Yes,,1,No,
105788100004,Local Pub – Dry Led,everyday traditional,No,,1,No,
100018600267,Local Pub – Dry Led,everyday traditional,No,,1,Yes,
100148400004,Local Pub – Dry Led,everyday traditional,Yes,,1,No,
100011700398,Local Pub – Dry Led,everyday traditional,Yes,,1,No,
101533200004,Local Pub – Dry Led,everyday traditional,Yes,,1,No,
185841400004,Local Pub – Dry Led,everyday traditional,No,,1,No,
183843700004,Local Pub – Dry Led,everyday traditional,Yes,,1,No,
100011700758,Local Pub – Dry Led,everyday traditional,Yes,,1,No,
100011700306,Local Pub – Dry Led,everyday traditional,Yes,,1,No,
180515800040,Local Pub – Dry Led,everyday traditional,No,,0,No,
180515800040,Local Pub – Dry Led,everyday traditional,No,,0,No,
100037700009,Local Pub – Dry Led,bar and kitchen,No,,0,No,
183170400004,Local Pub – Dry Led,bar and kitchen,No,,1,No,
100011701355,Local Pub – Dry Led,everyday traditional,Yes,,1,No,
184277600004,Local Pub – Dry Led,everyday traditional,No,,1,No,
184552400004,Local Pub – Dry Led,everyday traditional,Yes,,1,No,
185174600004,Local Pub – Dry Led,everyday traditional,Yes,,1,Yes,
104543100004,Local Pub – Dry Led,everyday traditional,No,,1,No,
102302300004,Local Pub – Dry Led,everyday traditional,No,,1,No,
181324700004,Local Pub – Dry Led,everyday traditional,No,,1,Yes,
102746000004,Local Pub – Dry Led,everyday traditional,No,,1,No,
185750700004,Local Pub – Dry Led,bar snacks,No,,1,No,
100018600810,Local Pub – Dry Led,everyday traditional,No,,1,No,
100013000569,Local Pub – Dry Led,everyday traditional,No,,1,Yes,
100011700382,Local Pub – Dry Led,everyday traditional,No,,1,No,
180177300004,Local Pub – Dry Led,everyday traditional,No,,1,Yes,
100011701448,Local Pub – Dry Led,everyday traditional,No,,1,No,
100013000400,Local Pub – Dry Led,everyday traditional,No,,1,No,
104252700004,Local Pub – Dry Led,bar and kitchen,No,,1,No,
185644000004,Local Pub – Dry Led,everyday traditional,No,,0,No,
106041100004,Local Pub – Dry Led,everyday traditional,No,,0,No,
111023300004,Local Pub – Dry Led,everyday traditional,No,,0,No,
103953000004,Local Pub – Dry Led,everyday traditional,No,,1,Yes,
122944200004,Local Pub – Dry Led,bar snacks,No,,0,No,
185250000004,Local Pub – Dry Led,everyday traditional,No,,1,No,
109568800004,Local Pub – Dry Led,everyday traditional,No,,0,Yes,
184201600004,Local Pub – Dry Led,everyday traditional,No,,1,No,
106315500004,Local Pub – Dry Led,fine dining,No,,0,No,
182564100004,Local Pub – Dry Led,everyday traditional,Yes,,1,Yes,
106341800004,Local Pub – Dry Led,everyday traditional,No,,0,No,
106056600004,Local Pub – Dry Led,everyday traditional,No,,0,Yes,
134399600004,Local Pub – Dry Led,everyday traditional,Yes,,1,Yes,
125032600004,Local Pub – Dry Led,everyday traditional,No,,0,No,
112343400004,Local Pub – Dry Led,bar and kitchen,No,,0,No,
185220900004,Local Pub – Dry Led,everyday traditional,No,,0,Yes,IOP - not eligible
183634600004,Local Pub – Dry Led,everyday traditional,No,,1,No,
118338500004,Local Pub – Dry Led,everyday traditional,No,,1,No,
110537700004,Local Pub – Dry Led,everyday traditional,No,,0,No,
123306800004,Local Pub – Dry Led,everyday traditional,No,,0,No,
110709300004,Local Pub – Dry Led,everyday traditional,No,,0,No,
131495200004,Local Pub – Dry Led,everyday traditional,No,,0,No,
100011700568,Local Pub – Dry Led,everyday traditional,Yes,,1,No,
125646800004,Local Pub – Dry Led,everyday traditional,No,,1,No,
100011700435,Local Pub – Dry Led,everyday traditional,Yes,,1,No,
183990200004,Local Pub – Dry Led,bar and kitchen,No,,1,No,
100022500109,Local Pub – Dry Led,everyday traditional,No,,1,No,
100011701288,Local Pub – Dry Led,everyday traditional,Yes,,1,No,
114962300004,Local Pub – Dry Led,everyday traditional,No,,1,Yes,
100011701352,Local Pub – Dry Led,everyday traditional,Yes,,1,No,
185073500004,Local Pub – Dry Led,everyday traditional,No,,1,Yes,Wholesale
116493000004,Local Pub – Dry Led,everyday traditional,No,,0,No,
100661900004,Local Pub – Dry Led,everyday traditional,No,,1,No,
182750700006,Local Pub – Dry Led,everyday traditional,No,,0,No,
115365800004,Local Pub – Dry Led,everyday traditional,No,,0,No,
117761600004,Local Pub – Dry Led,bar and kitchen,No,,0,No,
105770800004,Local Pub – Dry Led,everyday traditional,No,,1,No,
100011701240,Local Pub – Dry Led,everyday traditional,No,,1,No,
105692400004,Local Pub – Dry Led,everyday traditional,No,,1,Yes,
100018600256,Local Pub – Dry Led,everyday traditional,No,,1,Yes,
185199500004,Local Pub – Dry Led,everyday traditional,No,,1,No,
100011701373,Local Pub – Dry Led,everyday traditional,No,,1,No,
100703700004,Local Pub – Dry Led,everyday traditional,Yes,,1,Yes,
100018600027,Local Pub – Dry Led,everyday traditional,Yes,,1,No,
100018600059,Local Pub – Dry Led,everyday traditional,Yes,,1,Yes,
182750700007,Local Pub – Dry Led,everyday traditional,No,,1,No,
182047600004,Local Pub – Dry Led,fine dining,No,,1,No,
100018600290,Local Pub – Dry Led,everyday traditional,Yes,,1,Yes,
137821600004,Local Pub – Dry Led,everyday traditional,No,,1,No,
100050700373,Local Pub – Dry Led,everyday traditional,No,,0,No,
130532700004,Local Pub – Dry Led,everyday traditional,No,,1,Yes,
118943500004,Local Pub – Dry Led,everyday traditional,Yes,,1,No,
100011700626,Local Pub – Dry Led,everyday traditional,Yes,,1,No,
123540100004,Local Pub – Dry Led,everyday traditional,No,,0,No,
103196700004,Local Pub – Dry Led,everyday traditional,No,,1,Yes,
100011700427,Local Pub – Dry Led,everyday traditional,Yes,,1,No,
100011700461,Local Pub – Dry Led,everyday traditional,Yes,,1,No,
132127900004,Local Pub – Dry Led,everyday traditional,No,,0,No,
116897000004,Local Pub – Dry Led,,Yes,,1,No,
117520800004,Local Pub – Dry Led,everyday traditional,No,,0,No,
106053900004,Local Pub – Dry Led,everyday traditional,No,,0,No,
130219000004,Local Pub – Dry Led,everyday traditional,No,,0,No,
100018600608,Local Pub – Dry Led,everyday traditional,Yes,,1,Yes,
127449600004,Local Pub – Dry Led,everyday traditional,No,,0,No,
108977800004,Local Pub – Dry Led,everyday traditional,Yes,,1,No,
100018600222,Local Pub – Dry Led,everyday traditional,Yes,,1,No,
