"SkyRefNumber","Marketing Tag"
"101060900004","Q4 12/13  Summer Churner - Control Group (Non-Treated)"
"104160800004","Q4 12/13  Summer Churner - Control Group (Non-Treated)"
"180496200004","Q4 12/13  Summer Churner - Control Group (Non-Treated)"
"101726900004","Q4 12/13  Summer Churner - Control Group (Non-Treated)"
"104236900004","Q4 12/13  Summer Churner - Control Group (Non-Treated)"
"101927100004","Q4 12/13  Summer Churner - Control Group (Non-Treated)"
"101701000004","Q4 12/13  Summer Churner - Control Group (Non-Treated)"
"181469400004","Q4 12/13  Summer Churner - Control Group (Non-Treated)"
"181500700004","Q4 12/13  Summer Churner - Control Group (Non-Treated)"
"180789200004","Q4 12/13  Summer Churner - Control Group (Non-Treated)"
"105797100004","Q4 12/13  Summer Churner - Control Group (Non-Treated)"
"134454700004","Q4 12/13  Summer Churner - Control Group (Non-Treated)"
"101325100004","Q4 12/13  Summer Churner - Control Group (Non-Treated)"
"117776700004","Q4 12/13  Summer Churner - Control Group (Non-Treated)"
"105176300004","Q4 12/13  Summer Churner - Control Group (Non-Treated)"
"105358300004","Q4 12/13  Summer Churner - Control Group (Non-Treated)"
"105901900004","Q4 12/13  Summer Churner - Control Group (Non-Treated)"
"181528400004","Q4 12/13  Summer Churner - Control Group (Non-Treated)"
"181929400004","Q4 12/13  Summer Churner - Control Group (Non-Treated)"
"105982700004","Q4 12/13  Summer Churner - Control Group (Non-Treated)"
"102544100004","Q4 12/13  Summer Churner - Control Group (Non-Treated)"
"105911500004","Q4 12/13  Summer Churner - Control Group (Non-Treated)"
"181935600004","Q4 12/13  Summer Churner - Control Group (Non-Treated)"
"180582000004","Q4 12/13  Summer Churner - Control Group (Non-Treated)"
"102102200004","Q4 12/13  Summer Churner - Control Group (Non-Treated)"
"135091600004","Q4 12/13  Summer Churner - Control Group (Non-Treated)"
"102846800004","Q4 12/13  Summer Churner - Control Group (Non-Treated)"
"104635600004","Q4 12/13  Summer Churner - Control Group (Non-Treated)"
"102991900004","Q4 12/13  Summer Churner - Control Group (Non-Treated)"
"104917900004","Q4 12/13  Summer Churner - Control Group (Non-Treated)"
"102697800004","Q4 12/13  Summer Churner - Control Group (Non-Treated)"
"102972500004","Q4 12/13  Summer Churner - Control Group (Non-Treated)"
"182008700004","Q4 12/13  Summer Churner - Control Group (Non-Treated)"
"110536900004","Q4 12/13  Summer Churner - Control Group (Non-Treated)"
"100338100004","Q4 12/13  Summer Churner - Control Group (Non-Treated)"
"101214400004","Q4 12/13  Summer Churner - Control Group (Non-Treated)"
"105921800004","Q4 12/13  Summer Churner - Control Group (Non-Treated)"
"105908600004","Q4 12/13  Summer Churner - Control Group (Non-Treated)"
"180449300004","Q4 12/13  Summer Churner - Control Group (Non-Treated)"
"180751700004","Q4 12/13  Summer Churner - Control Group (Non-Treated)"
"105334100004","Q4 12/13  Summer Churner - Control Group (Non-Treated)"
"135587600004","Q4 12/13  Summer Churner - Control Group (Non-Treated)"
"180817200004","Q4 12/13  Summer Churner - Control Group (Non-Treated)"
"104182500004","Q4 12/13  Summer Churner - Control Group (Non-Treated)"
"138132400004","Q4 12/13  Summer Churner - Control Group (Non-Treated)"
"106536900004","Q4 12/13  Summer Churner - Control Group (Non-Treated)"
"105907400004","Q4 12/13  Summer Churner - Control Group (Non-Treated)"
"180853300004","Q4 12/13  Summer Churner - Control Group (Non-Treated)"
"104759100004","Q4 12/13  Summer Churner - Control Group (Non-Treated)"
"180956100004","Q4 12/13  Summer Churner - Control Group (Non-Treated)"
"103837200004","Q4 12/13  Summer Churner - Control Group (Non-Treated)"
"141979600004","Q4 12/13  Summer Churner - Control Group (Non-Treated)"
"136099600004","Q4 12/13  Summer Churner - Control Group (Non-Treated)"
