billingsubaccount,outletsubaccount,agreementid,chargeableid,offercode,overrideprice,effectivedate
100689100003,100689100004,MIGPRD00000000437941_00000008060041526059_11758,00000000000000671706_00000001380009697739_00081,RUK_ALC_GEN_O  ,35.00,01/08/2016
180512600003,180512600004,00000000000000270931_00000001323870684621_00068,00000000000000922649_00000001413992773411_00317,RUK_ALC_GEN_O  ,35.00,01/08/2016
103902200003,103902200004,MIGPRD00000000470072_00000008060041469854_54097,00000000000000672960_00000001380553060119_00696,RUK_ALC_GEN_O  ,42.00,01/08/2016
182929800003,182929800004,00000000000000666779_00000001379338652428_00001,00000000000000672990_00000001380311728054_01515,RUK_STA_GEN_O  ,42.00,01/08/2016
100069100003,100069100004,00000000000000370885_00000001339069827040_00052,00000000000000668214_00000001379518310827_00202,RUK_ALC_GEN_O  ,43.75,01/08/2016
100339200003,100339200004,MIGPRD00000000434442_00000008060042092905_92365,00000000000000670494_00000001379855572257_00484,RUK_ALC_GEN_O  ,43.75,01/08/2016
100513300003,100513300004,00000000000000342838_00000001334922736206_00276,00000000000000671870_00000001380019754088_00010,RUK_ALC_GEN_O  ,43.75,01/08/2016
100526200003,100526200004,00000000000000478293_00000001354202878886_00136,00000000000000668035_00000001379518428728_00235,RUK_ALC_GEN_O  ,43.75,01/08/2016
100559900003,100559900004,MIGPRD00000000436649_00000008060041673361_88349,00000000000000670146_00000001379845652551_00262,RUK_ALC_GEN_O  ,43.75,01/08/2016
100645800003,100645800004,00000000000000666088_00000001379340599615_00489,00000000000000672955_00000001380551324664_01966,RUK_STA_GEN_O  ,43.75,01/08/2016
100737100003,100737100004,00000000000000336926_00000001334045816735_00033,00000000000000668000_00000001379518968054_00491,RUK_ALC_GEN_O  ,43.75,01/08/2016
100796500003,100796500004,MIGPRD00000000439015_00000008060041748268_16542,00000000000000667808_00000001379519018893_00304,RUK_ALC_GEN_O  ,43.75,01/08/2016
101118700003,101118700004,00000000000000673376_00000001380297054623_01043,00000000000000712540_00000001385469611374_00079,RUK_STA_GEN_O  ,43.75,01/08/2016
101177700003,101177700004,MIGPRD00000000442827_00000008060041860101_59689,00000000000000671869_00000001380020004622_00073,RUK_ALC_GEN_O  ,43.75,01/08/2016
101338300003,101338300004,00000000000000666697_00000001379337321035_00170,00000000000000668076_00000001379598485092_01127,RUK_STA_GEN_O  ,43.75,01/08/2016
101351700003,101351700004,MIGPRD00000000444567_00000008060041697348_24222,00000000000000798760_00000001396880683921_00015,RUK_ALC_GEN_O  ,43.75,01/08/2016
101355800003,101355800004,00000000000000325753_00000001332331476242_00086,00000000000000667797_00000001379519452263_00323,RUK_ALC_GEN_O  ,43.75,01/08/2016
101446900003,101446900004,MIGPRD00000000445519_00000008060041572394_11561,00000000000000672976_00000001380216594962_00474,RUK_ALC_GEN_O  ,43.75,01/08/2016
101540500003,101540500004,00000000000000838695_00000001402410812972_00169,00000000000000922872_00000001413992262895_00406,RUK_ALC_GEN_O  ,43.75,01/08/2016
101864600003,101864600004,MIGPRD00000000449696_00000008060041670659_87500,00000000000000672997_00000001380551811227_01181,RUK_ALC_GEN_O  ,43.75,01/08/2016
102466000003,102466000004,MIGPRD00000000455710_00000008060042171797_39738,00000000000000673583_00000001380216276951_00533,RUK_ALC_GEN_O  ,43.75,01/08/2016
102474000003,102474000004,MIGPRD00000000455790_00000008060041224739_47430,00000000000000668016_00000001379520178433_00492,RUK_ALC_GEN_O  ,43.75,01/08/2016
102510700003,102510700004,MIGPRD00000000456157_00000008060041955731_83169,00000000000000673447_00000001380216769409_00431,RUK_ALC_GEN_O  ,43.75,01/08/2016
102594700003,102594700004,00000000000000679312_00000001381322067693_00470,00000000000000679976_00000001381333665065_00028,RUK_STA_GEN_O  ,43.75,01/08/2016
102689300003,102689300004,MIGPRD00000000457943_00000008060041270784_47610,00000000000000673003_00000001380298088529_00296,RUK_ALC_GEN_O  ,43.75,01/08/2016
102850400003,102850400004,MIGPRD00000000459554_00000008060041600846_87229,00000000000000716495_00000001386002758658_00278,RUK_ALC_GEN_O  ,43.75,01/08/2016
102999400003,102999400004,MIGPRD00000000461044_00000008060041869167_25874,00000000000000673309_00000001380215371194_00643,RUK_ALC_GEN_O  ,43.75,01/08/2016
103041900003,103041900004,00000000000000322330_00000001331801853193_00072,00000000000000671683_00000001380009955027_00072,RUK_ALC_GEN_O  ,43.75,01/08/2016
103354400003,103354400004,MIGPRD00000000464594_00000008060042061711_51535,00000000000000672984_00000001380552456762_00338,RUK_ALC_GEN_O  ,43.75,01/08/2016
103568900003,103568900004,MIGPRD00000000466739_00000008060041652019_42026,00000000000000668015_00000001379520657541_00487,RUK_ALC_GEN_O  ,43.75,01/08/2016
103612400003,103612400004,MIGPRD00000000467174_00000008060041376924_84539,00000000000000757060_00000001390988077587_00052,RUK_ALC_GEN_O  ,43.75,01/08/2016
103717600003,103717600004,MIGPRD00000000468225_00000008060042120746_85537,00000000000000922884_00000001413990364883_00264,RUK_ALC_GEN_O  ,43.75,01/08/2016
103758300003,103758300004,MIGPRD00000000468633_00000008060041442262_24177,00000000000000672974_00000001380552885318_01188,RUK_ALC_GEN_O  ,43.75,01/08/2016
103807400003,103807400004,MIGPRD00000000469124_00000008060041848903_70351,00000000000000668274_00000001379521192386_00503,RUK_ALC_GEN_O  ,43.75,01/08/2016
103963600003,103963600004,MIGPRD00000000470686_00000008060042079559_07506,00000000000000668342_00000001379521240442_00365,RUK_ALC_GEN_O  ,43.75,01/08/2016
104041500003,104041500004,MIGPRD00000000471465_00000008060041241573_74717,00000000000000668016_00000001379521267214_00528,RUK_ALC_GEN_O  ,43.75,01/08/2016
104125100003,104125100004,MIGPRD00000000472301_00000008060041785184_52221,00000000000000667797_00000001379521297950_00379,RUK_ALC_GEN_O  ,43.75,01/08/2016
104236700003,104236700004,MIGPRD00000000473417_00000008060041452707_56540,00000000000000673468_00000001380553264613_00491,RUK_ALC_GEN_O  ,43.75,01/08/2016
104245900003,104245900004,00000000000000666421_00000001379340600284_00176,00000000000000673305_00000001380384145227_00767,RUK_STA_GEN_O  ,43.75,01/08/2016
104400800003,104400800004,MIGPRD00000000475059_00000008060042144009_13229,00000000000000670475_00000001379846628982_00285,RUK_ALC_GEN_O  ,43.75,01/08/2016
104545400003,104545400004,MIGPRD00000000476504_00000008060042173894_41869,00000000000000672997_00000001380553516565_01201,RUK_ALC_GEN_O  ,43.75,01/08/2016
104709300003,104709300004,00000000000000315834_00000001330964587108_00139,00000000000000670146_00000001379856903788_00532,RUK_ALC_GEN_O  ,43.75,01/08/2016
104713300003,104713300004,00000000000000316418_00000001331052086471_00145,00000000000000672126_00000001380102504830_00211,RUK_ALC_GEN_O  ,43.75,01/08/2016
104840200003,104840200004,MIGPRD00000000479452_00000008060041872311_10279,00000000000000672967_00000001380216989995_00497,RUK_ALC_GEN_O  ,43.75,01/08/2016
104951700003,104951700004,MIGPRD00000000480567_00000008060041525459_18200,00000000000000670191_00000001379857082657_00371,RUK_ALC_GEN_O  ,43.75,01/08/2016
104967100003,104967100004,MIGPRD00000000480721_00000008060041886055_33288,00000000000000672880_00000001380553753579_01476,RUK_ALC_GEN_O  ,43.75,01/08/2016
105394600003,105394600004,MIGPRD00000000484996_00000008060041707301_15867,00000000000000673378_00000001380279895908_00388,RUK_ALC_GEN_O  ,43.75,01/08/2016
105442200003,105442200004,MIGPRD00000000485472_00000008060041389024_60126,00000000000000670173_00000001379846738472_00283,RUK_ALC_GEN_O  ,43.75,01/08/2016
105445500003,105445500004,MIGPRD00000000485505_00000008060041972795_62998,00000000000000674006_00000001380625139095_00166,RUK_ALC_GEN_O  ,43.75,01/08/2016
105455900003,105455900004,00000000000000396142_00000001342624378239_00407,00000000000000710957_00000001385210145148_00116,RUK_ALC_GEN_O  ,43.75,01/08/2016
105732200003,105732200004,00000000000000666658_00000001379337324778_00200,00000000000000702934_00000001384339433190_00129,RUK_STA_GEN_O  ,43.75,01/08/2016
105752600003,105752600004,MIGPRD00000000488576_00000008060041828305_40568,00000000000000923069_00000001413991709086_00540,RUK_ALC_GEN_O  ,43.75,01/08/2016
105979200003,105979200004,MIGPRD00000000490842_00000008060041232858_47709,00000000000000668035_00000001379522183949_00397,RUK_ALC_GEN_O  ,43.75,01/08/2016
113301000003,113301000004,00000000000000487582_00000001355500160623_00127,00000000000000682347_00000001381850051951_00179,RUK_ALC_GEN_O  ,43.75,01/08/2016
123899100003,123899100004,00000000000000552734_00000001364394493546_00048,00000000000000667743_00000001379509757364_00041,RUK_ALC_GEN_O  ,43.75,01/08/2016
124529900003,124529900004,00000000000000665949_00000001379326632748_00251,00000000000000673284_00000001380388311672_00680,RUK_STA_GEN_O  ,43.75,01/08/2016
134317600003,134317600004,00000000000000665978_00000001379337320248_00272,00000000000000674442_00000001380625155003_00150,RUK_STA_GEN_O  ,43.75,01/08/2016
141426000003,141426000004,00000000000000666288_00000001379337320439_00286,00000000000000670180_00000001379870075735_00541,RUK_STA_GEN_O  ,43.75,01/08/2016
142057000003,142057000004,00000000000000666136_00000001379326635016_00199,00000000000000672996_00000001380391131295_01181,RUK_STA_GEN_O  ,43.75,01/08/2016
142673600003,142673600004,00000000000000666598_00000001379337307704_00159,00000000000000672996_00000001380391162727_01189,RUK_STA_GEN_O  ,43.75,01/08/2016
180206200003,180206200004,00000000000000673160_00000001380297053443_01323,00000000000000673563_00000001380315380675_00928,RUK_STA_GEN_O  ,43.75,01/08/2016
