billingsubaccount,outletsubaccount,agreementid,chargeableid,offercode,overrideprice,effectivedate
100026400003,100026400005,MIGPRD00000000431314_00000008060041673766_55386,00000000000000000000000000000000000000000000000,MIN_PRIC_ADJ_O,171.5,01/08/2016
100026400003,100026400006,MIGPRD00000000431314_00000008060041821747_55426,MIGPRD00000000431314_00000008060041855661_55449,DS_SEN_BANK_O,2323,01/08/2016
100026400003,100026400008,MIGPRD00000000431314_00000008060042150002_55531,MIGPRD00000000431314_00000008060041223512_55551,DS_SEN_BANK_O,606,01/08/2016
100026400010,100026400025,MIGPRD00000000431314_00000008060041608073_56380,00000000000000845149_00000001403260219370_00082,ULTI_SEN_ODUK_O,310,01/08/2016
100026400010,100026400025,MIGPRD00000000431314_00000008060041608073_56380,00000000000000845149_00000001403260495868_00112,ULTI_SEN_ODUK_O,310,01/08/2016
100026400010,100026400035,00000000000000698641_00000001383836941187_00183,00000000000000698535_00000001383837005420_00218,ULTI_SEN_ODUK_O,310,01/08/2016
100026400010,100026400036,00000000000000772150_00000001392894528391_00043,00000000000000771969_00000001392894555272_00075,BASE_SEN_ODUK_O,221,01/08/2016
100033100003,100033100005,MIGPRD00000000431381_00000008060041781651_97382,MIGPRD00000000431381_00000008060041801306_97390,BASE_SEN_RDUK_O,170,01/08/2016
100033100003,100033100006,MIGPRD00000000431381_00000008060041891400_97414,MIGPRD00000000431381_00000008060041910588_97423,BASE_SEN_RDUK_O,170,01/08/2016
100033100003,100033100007,MIGPRD00000000431381_00000008060042012307_97447,MIGPRD00000000431381_00000008060042031133_97456,BASE_SEN_RDUK_O,170,01/08/2016
100033100003,100033100009,MIGPRD00000000431381_00000008060041238497_97515,MIGPRD00000000431381_00000008060041258308_97524,BASE_SEN_RDUK_O,170,01/08/2016
100033100003,100033100010,MIGPRD00000000431381_00000008060041352656_97543,MIGPRD00000000431381_00000008060041370388_97551,BASE_SEN_RDUK_O,170,01/08/2016
100033100003,100033100012,MIGPRD00000000431381_00000008060041565699_97610,MIGPRD00000000431381_00000008060041594968_97619,BASE_SEN_RDUK_O,170,01/08/2016
100033100003,100033100013,MIGPRD00000000431381_00000008060041718156_97643,MIGPRD00000000431381_00000008060041768066_97652,BASE_SEN_RDUK_O,170,01/08/2016
100033100003,100033100014,MIGPRD00000000431381_00000008060041858649_97676,MIGPRD00000000431381_00000008060041892918_97685,BASE_SEN_RDUK_O,170,01/08/2016
100033100003,100033100015,MIGPRD00000000431381_00000008060041982123_97709,MIGPRD00000000431381_00000008060041996677_97718,BASE_SEN_RDUK_O,170,01/08/2016
100033100003,100033100016,MIGPRD00000000431381_00000008060042088644_97742,MIGPRD00000000431381_00000008060042106530_97751,BASE_SEN_RDUK_O,170,01/08/2016
100033100003,100033100017,MIGPRD00000000431381_00000008060041209865_97775,MIGPRD00000000431381_00000008060041221366_97784,BASE_SEN_RDUK_O,170,01/08/2016
100033100003,100033100018,MIGPRD00000000431381_00000008060041312139_97808,MIGPRD00000000431381_00000008060041323739_97817,BASE_SEN_RDUK_O,170,01/08/2016
100033100003,100033100020,MIGPRD00000000431381_00000008060041547542_97886,MIGPRD00000000431381_00000008060041559214_97895,BASE_SEN_RDUK_O,170,01/08/2016
100033100003,100033100021,MIGPRD00000000431381_00000008060041651420_97923,MIGPRD00000000431381_00000008060041661825_97931,BASE_SEN_RDUK_O,170,01/08/2016
100033100003,100033100022,MIGPRD00000000431381_00000008060041750368_97955,MIGPRD00000000431381_00000008060041760979_97963,BASE_SEN_RDUK_O,170,01/08/2016
100033100003,100033100023,MIGPRD00000000431381_00000008060041851778_97987,MIGPRD00000000431381_00000008060041868975_97996,BASE_SEN_RDUK_O,170,01/08/2016
100033100003,100033100024,MIGPRD00000000431381_00000008060041957618_98020,MIGPRD00000000431381_00000008060041968941_98029,BASE_SEN_RDUK_O,170,01/08/2016
100033100003,100033100025,MIGPRD00000000431381_00000008060042058396_98053,MIGPRD00000000431381_00000008060042069922_98062,BASE_SEN_RDUK_O,170,01/08/2016
100033100003,100033100026,MIGPRD00000000431381_00000008060042159929_98086,MIGPRD00000000431381_00000008060041171966_98095,BASE_SEN_RDUK_O,170,01/08/2016
100033100003,100033100088,00000000000000200363_00000001311088232886_00125,00000000000000200145_00000001311088364397_00249,ULTI_SEN_RDUK_O,233,01/08/2016
100033100081,100033100083,MIGPRD00000000431381_00000008060041626685_00239,00000000000000610149_00000001371823681432_00031,ULTI_SEN_GRFU_O,248,01/08/2016
100033100081,100033100083,MIGPRD00000000431381_00000008060041626685_00239,00000000000000610149_00000001371823713509_00049,ULTI_SEN_GRFU_O,248,01/08/2016
100033100081,100033100083,MIGPRD00000000431381_00000008060041626685_00239,00000000000000610463_00000001371823738012_00352,ULTI_SEN_GRFU_O,248,01/08/2016
100033100081,100033100084,MIGPRD00000000431381_00000008060041759024_00317,MIGPRD00000000431381_00000008060041770294_00326,ULTI_SEN_BNGS_O,308,01/08/2016
100033100081,100033100086,MIGPRD00000000431381_00000008060041975827_00405,MIGPRD00000000431381_00000008060041985837_00413,BASE_SEN_BNGN_O,220,01/08/2016
100033100081,100033100087,MIGPRD00000000431381_00000008060042073638_00437,MIGPRD00000000431381_00000008060042090933_00446,BASE_SEN_BNGY_O,356.4,01/08/2016
104455100003,104455100004,MIGPRD00000000475601_00000008060041997247_63760,MIGPRD00000000475601_00000008060042033008_63830,OPT1_SEN_ODRI_O,213,01/08/2016
182560800003,182560800005,00000000000000590994_00000001369145228886_00251,00000000000000000000000000000000000000000000000,MIN_PRIC_ADJ_O,158.8,01/08/2016
182560800003,182560800005,00000000000000590994_00000001369145228886_00251,00000000000000604485_00000001371026834830_00017,SSS2_ALC_GEN_O,16.2,01/08/2016
116741900003,116741900004,00000000000001279284_00000001450708335074_00065,00000000000001280046_00000001450708611347_00020,ULTI_SEN_RDUK_O,233,01/08/2016
118501800003,118501800004,00000000000000708364_00000001384971111833_00259,00000000000001329916_00000001455707509504_00240,ULTI_SEN_RDUK_O,233,01/08/2016
119112800003,119112800004,00000000000001246230_00000001447440681701_00157,00000000000001246897_00000001447440957993_00451,ULTI_SEN_RDUK_O,233,01/08/2016
120564200003,120564200004,00000000000000621667_00000001373376976453_00294,00000000000001208682_00000001443694148348_00088,ULTI_SEN_RDUK_O,233,01/08/2016
120844600003,120844600004,00000000000001184779_00000001441205200157_00144,00000000000001185052_00000001441205247951_00398,ULTI_SEN_RDUK_O,233,01/08/2016
131223400003,131223400004,00000000000001200656_00000001442919973115_00177,00000000000001206299_00000001443526176412_00034,ULTI_SEN_RDUK_O,233,01/08/2016
134081300003,134081300004,00000000000001328611_00000001455564243205_00154,00000000000001335016_00000001456235145594_00193,ULTI_SEN_RDUK_O,233,01/08/2016
136905200003,136905200004,00000000000000993569_00000001421765874086_00119,00000000000001344641_00000001457366475009_00599,ULTI_SEN_RDUK_O,233,01/08/2016
141449200003,141449200004,00000000000001318925_00000001454614514628_00305,00000000000001319270_00000001454614778163_00287,ULTI_SEN_RDUK_O,233,01/08/2016
142076100003,142076100004,00000000000001285914_00000001451382436020_00021,00000000000001286247_00000001451402304373_00107,ULTI_SEN_RDUK_O,233,01/08/2016
180420300003,180420300004,00000000000000645506_00000001376671789663_00101,00000000000001220132_00000001444830847167_00696,ULTI_SEN_RDUK_O,233,01/08/2016
182305400003,182305400004,00000000000000525856_00000001360859712822_00554,00000000000001305785_00000001453393985282_00111,ULTI_SEN_RDUK_O,233,01/08/2016
182493100003,182493100004,00000000000001163761_00000001438941934422_00203,00000000000001163981_00000001438942148728_00442,ULTI_SEN_RDUK_O,233,01/08/2016
182647600003,182647600004,00000000000000612244_00000001372166185449_00119,00000000000001276322_00000001450361109255_00263,ULTI_SEN_RDUK_O,233,01/08/2016
182662000003,182662000004,00000000000000613572_00000001372348524785_00188,00000000000001196556_00000001442417537510_00346,ULTI_SEN_RDUK_O,233,01/08/2016
182798200003,182798200004,00000000000000644119_00000001376474258448_00050,00000000000001199891_00000001442848773145_00188,ULTI_SEN_RDUK_O,233,01/08/2016
182911700003,182911700004,00000000000001326197_00000001455294495499_00231,00000000000001327029_00000001455375027640_00132,ULTI_SEN_RDUK_O,233,01/08/2016
183059600003,183059600004,00000000000000675398_00000001380807777072_00237,00000000000001237084_00000001446555230694_00154,ULTI_SEN_RDUK_O,233,01/08/2016
183176500003,183176500004,00000000000000701706_00000001384178367231_00070,00000000000001206814_00000001443542572930_00243,BASE_SEN_RDUK_O,170,01/08/2016
183185200003,183185200004,00000000000000704595_00000001384517038047_00106,00000000000001270001_00000001449747433436_00382,ULTI_SEN_RDUK_O,233,01/08/2016
183490800003,183490800004,00000000000000718448_00000001386167969297_00199,00000000000001297749_00000001452510397175_00040,ULTI_SEN_RDUK_O,233,01/08/2016
183511200003,183511200004,00000000000000723777_00000001386842225213_00050,00000000000001323802_00000001455010908606_00005,ULTI_SEN_RDUK_O,233,01/08/2016
183651700003,183651700004,00000000000000756284_00000001390920677770_00231,00000000000001329919_00000001455709032294_00228,ULTI_SEN_RDUK_O,233,01/08/2016
183681200003,183681200004,00000000000000762792_00000001391705766923_00328,00000000000001324781_00000001455128595068_00452,ULTI_SEN_RDUK_O,233,01/08/2016
183722800003,183722800004,00000000000001360913_00000001459414065038_00160,00000000000001361330_00000001459414953855_00001,ULTI_SEN_RDUK_O,233,01/08/2016
183787200003,183787200004,00000000000000785991_00000001394723410444_00150,00000000000001371714_00000001460535264190_00049,ULTI_SEN_RDUK_O,233,01/08/2016
183814000003,183814000004,00000000000000901338_00000001410866343971_00215,00000000000001190678_00000001441726678048_00241,ULTI_SEN_RDUK_O,233,01/08/2016
183825100003,183825100004,00000000000000793821_00000001395934207042_00703,00000000000001360050_00000001459255025377_00239,ULTI_SEN_RDUK_O,233,01/08/2016
183865000003,183865000004,00000000000001017314_00000001424087230042_00007,00000000000001206598_00000001443517364116_00106,ULTI_SEN_RDUK_O,233,01/08/2016
183865000003,183865000004,00000000000001017314_00000001424087230042_00007,00000000000001206598_00000001443517364116_00106,ULTI_SEN_RDUK_O,233,01/08/2016
184026200003,184026200004,00000000000000850598_00000001404044931785_00138,00000000000001220024_00000001444829479159_00291,ULTI_SEN_RDUK_O,233,01/08/2016
184027300003,184027300004,00000000000000901932_00000001410963870976_00113,00000000000001356830_00000001458898180228_00594,ULTI_SEN_RDUK_O,233,01/08/2016
184031800003,184031800004,00000000000001160886_00000001438699165443_00050,00000000000001160777_00000001438699292721_00329,ULTI_SEN_RDUK_O,233,01/08/2016
184031800003,184031800004,00000000000001160886_00000001438699165443_00050,00000000000001208385_00000001443688925334_00202,ULTI_SEN_RDUK_O,233,01/08/2016
184031800003,184031800004,00000000000001160886_00000001438699165443_00050,00000000000001160873_00000001438699306838_00086,ULTI_SEN_RDUK_O,233,01/08/2016
184031800003,184031800004,00000000000001160886_00000001438699165443_00050,00000000000001160777_00000001438699297218_00357,ULTI_SEN_RDUK_O,233,01/08/2016
184031800003,184031800004,00000000000001160886_00000001438699165443_00050,00000000000001160873_00000001438699311224_00103,ULTI_SEN_RDUK_O,233,01/08/2016
184031800003,184031800004,00000000000001160886_00000001438699165443_00050,00000000000001208377_00000001443688929927_00155,ULTI_SEN_RDUK_O,233,01/08/2016
184194000003,184194000004,00000000000000874885_00000001407331832102_00161,00000000000001191592_00000001441804142225_00281,ULTI_SEN_RDUK_O,233,01/08/2016
184354400003,184354400004,00000000000000908675_00000001412091672069_00551,00000000000001345969_00000001457620696647_00131,ULTI_SEN_RDUK_O,233,01/08/2016
184365800003,184365800004,00000000000000911495_00000001412516842567_00007,00000000000001271550_00000001449831887334_00097,ULTI_SEN_RDUK_O,233,01/08/2016
184601900003,184601900004,00000000000001160726_00000001438700788645_00113,00000000000001160796_00000001438701080594_00524,ULTI_SEN_RDUK_O,233,01/08/2016
184610900003,184610900004,00000000000001000742_00000001422367574914_00051,00000000000001161384_00000001438686397248_00161,ULTI_SEN_RDUK_O,233,01/08/2016
184616400003,184616400004,00000000000001261271_00000001448986863673_00085,00000000000001261603_00000001448987000027_00130,ULTI_SEN_RDUK_O,233,01/08/2016
184671200003,184671200004,00000000000001017793_00000001424177052654_00087,00000000000001174049_00000001440077664260_00567,ULTI_SEN_RDUK_O,233,01/08/2016
184676800003,184676800004,00000000000001019688_00000001424338238051_00047,00000000000001162010_00000001438786415445_00425,ULTI_SEN_RDUK_O,233,01/08/2016
184737200003,184737200004,00000000000001155339_00000001438172698145_00169,00000000000001155873_00000001438173003063_00073,ULTI_SEN_RDUK_O,233,01/08/2016
184743500003,184743500004,00000000000001040321_00000001426432701720_00001,00000000000001166570_00000001439308518586_00999,ULTI_SEN_RDUK_O,233,01/08/2016
185046800003,185046800004,00000000000001250822_00000001447859211321_00270,00000000000001251113_00000001447864098453_00227,ULTI_SEN_RDUK_O,233,01/08/2016
185095600003,185095600004,00000000000001079957_00000001430409124715_00122,00000000000001201590_00000001443022378167_00279,ULTI_SEN_RDUK_O,233,01/08/2016
185161200003,185161200004,00000000000001167258_00000001439381212059_00153,00000000000001167463_00000001439381479010_00101,ULTI_SEN_RDUK_O,233,01/08/2016
