"Sky Reference Number - Outlet","Marketing tag"
"101340100004","Q4 12/13 Rugby - Control Group (Non-Treated)"
"102663800004","Q4 12/13  Rugby  - Treated Customer"
"103895100004","Q4 12/13  Rugby  - Treated Customer"
"105691800004","Q4 12/13  Rugby  - Treated Customer"
"102629500004","Q4 12/13  Rugby  - Treated Customer"
"105022200004","Q4 12/13  Rugby  - Treated Customer"
"105763400004","Q4 12/13  Rugby  - Treated Customer"
"103265800004","Q4 12/13  Rugby  - Treated Customer"
"181155400004","Q4 12/13 Rugby - Control Group (Non-Treated)"
"105456100004","Q4 12/13 Rugby - Control Group (Non-Treated)"
"100502000004","Q4 12/13  Rugby  - Treated Customer"
"103191600004","Q4 12/13  Rugby  - Treated Customer"
"101194700004","Q4 12/13  Rugby  - Treated Customer"
"100782600004","Q4 12/13  Rugby  - Treated Customer"
"100853000004","Q4 12/13  Rugby  - Treated Customer"
"104912800004","Q4 12/13  Rugby  - Treated Customer"
"101822900004","Q4 12/13  Rugby  - Treated Customer"
"100654800004","Q4 12/13  Rugby  - Treated Customer"
"100236300004","Q4 12/13  Rugby  - Treated Customer"
"104846900004","Q4 12/13  Rugby  - Treated Customer"
"105457500004","Q4 12/13  Rugby  - Treated Customer"
"102039800004","Q4 12/13  Rugby  - Treated Customer"
"104248700004","Q4 12/13 Rugby - Control Group (Non-Treated)"
"180159500004","Q4 12/13  Rugby  - Treated Customer"
"103673800004","Q4 12/13  Rugby  - Treated Customer"
"104918800004","Q4 12/13  Rugby  - Treated Customer"
"101217900004","Q4 12/13  Rugby  - Treated Customer"
"101543900004","Q4 12/13  Rugby  - Treated Customer"
"105876400004","Q4 12/13  Rugby  - Treated Customer"
"180308800004","Q4 12/13  Rugby  - Treated Customer"
"100586300004","Q4 12/13  Rugby  - Treated Customer"
"104068600004","Q4 12/13  Rugby  - Treated Customer"
"103182400004","Q4 12/13  Rugby  - Treated Customer"
"103040400004","Q4 12/13  Rugby  - Treated Customer"
"102281800004","Q4 12/13  Rugby  - Treated Customer"
"105221300004","Q4 12/13  Rugby  - Treated Customer"
"103816200004","Q4 12/13  Rugby  - Treated Customer"
"101622300004","Q4 12/13  Rugby  - Treated Customer"
"104139300004","Q4 12/13  Rugby  - Treated Customer"
"105036900004","Q4 12/13  Rugby  - Treated Customer"
"105436500004","Q4 12/13  Rugby  - Treated Customer"
"100581400004","Q4 12/13  Rugby  - Treated Customer"
"104196000004","Q4 12/13  Rugby  - Treated Customer"
"104754100004","Q4 12/13  Rugby  - Treated Customer"
"105017100004","Q4 12/13  Rugby  - Treated Customer"
"100070100004","Q4 12/13  Rugby  - Treated Customer"
"103185200004","Q4 12/13  Rugby  - Treated Customer"
"104311200004","Q4 12/13  Rugby  - Treated Customer"
"105355500004","Q4 12/13  Rugby  - Treated Customer"
"104341400004","Q4 12/13  Rugby  - Treated Customer"
"102877500004","Q4 12/13  Rugby  - Treated Customer"
"104864800004","Q4 12/13  Rugby  - Treated Customer"
"110627900004","Q4 12/13  Rugby  - Treated Customer"
"181156000004","Q4 12/13  Rugby  - Treated Customer"
"102900900004","Q4 12/13  Rugby  - Treated Customer"
"104085400004","Q4 12/13  Rugby  - Treated Customer"
"100641100004","Q4 12/13  Rugby  - Treated Customer"
"102362100004","Q4 12/13  Rugby  - Treated Customer"
"101882700004","Q4 12/13 Rugby - Control Group (Non-Treated)"
"104236200004","Q4 12/13  Rugby  - Treated Customer"
"105262200004","Q4 12/13  Rugby  - Treated Customer"
"102396200004","Q4 12/13  Rugby  - Treated Customer"
"105932000004","Q4 12/13  Rugby  - Treated Customer"
"104062900004","Q4 12/13  Rugby  - Treated Customer"
"104142100004","Q4 12/13  Rugby  - Treated Customer"
"104452400004","Q4 12/13  Rugby  - Treated Customer"
"100033100083","Q4 12/13  Rugby  - Treated Customer"
"103140400004","Q4 12/13  Rugby  - Treated Customer"
"100083900004","Q4 12/13  Rugby  - Treated Customer"
"101045700004","Q4 12/13  Rugby  - Treated Customer"
"100760400004","Q4 12/13 Rugby - Control Group (Non-Treated)"
"100741000004","Q4 12/13  Rugby  - Treated Customer"
"104852300004","Q4 12/13  Rugby  - Treated Customer"
"180142300004","Q4 12/13  Rugby  - Treated Customer"
"180978300004","Q4 12/13  Rugby  - Treated Customer"
"103010100004","Q4 12/13  Rugby  - Treated Customer"
"101244700004","Q4 12/13 Rugby - Control Group (Non-Treated)"
"180419300004","Q4 12/13  Rugby  - Treated Customer"
"100544800004","Q4 12/13  Rugby  - Treated Customer"
"101200800004","Q4 12/13  Rugby  - Treated Customer"
"103652800004","Q4 12/13  Rugby  - Treated Customer"
"101201000004","Q4 12/13  Rugby  - Treated Customer"
"100850800004","Q4 12/13  Rugby  - Treated Customer"
"105170500004","Q4 12/13  Rugby  - Treated Customer"
"100636600004","Q4 12/13  Rugby  - Treated Customer"
"103938900004","Q4 12/13  Rugby  - Treated Customer"
"106003400004","Q4 12/13  Rugby  - Treated Customer"
"105465700004","Q4 12/13  Rugby  - Treated Customer"
"103284600004","Q4 12/13  Rugby  - Treated Customer"
"102408700004","Q4 12/13  Rugby  - Treated Customer"
"104856700004","Q4 12/13  Rugby  - Treated Customer"
"103043900004","Q4 12/13  Rugby  - Treated Customer"
"102614700004","Q4 12/13  Rugby  - Treated Customer"
"105440100004","Q4 12/13 Rugby - Control Group (Non-Treated)"
"101078100004","Q4 12/13  Rugby  - Treated Customer"
"180905400004","Q4 12/13 Rugby - Control Group (Non-Treated)"
"101353900004","Q4 12/13  Rugby  - Treated Customer"
"103686900004","Q4 12/13  Rugby  - Treated Customer"
"101570800004","Q4 12/13  Rugby  - Treated Customer"
"101633600004","Q4 12/13  Rugby  - Treated Customer"
"104911100004","Q4 12/13  Rugby  - Treated Customer"
"103540200004","Q4 12/13  Rugby  - Treated Customer"
"103708700004","Q4 12/13  Rugby  - Treated Customer"
