SubAccountNumber,EscalatedNote,Action
101337900004,"""Punch have a central group deal for their L&T outlets, please instruct them to speak with their regional manager to learn more""",1
101374100004,"""Punch have a central group deal for their L&T outlets, please instruct them to speak with their regional manager to learn more""",1
101406700004,"""Punch have a central group deal for their L&T outlets, please instruct them to speak with their regional manager to learn more""",1
101409900004,"""Punch have a central group deal for their L&T outlets, please instruct them to speak with their regional manager to learn more""",1
101422900004,"""Punch have a central group deal for their L&T outlets, please instruct them to speak with their regional manager to learn more""",1
101439600004,"""Punch have a central group deal for their L&T outlets, please instruct them to speak with their regional manager to learn more""",1
101460400004,"""Punch have a central group deal for their L&T outlets, please instruct them to speak with their regional manager to learn more""",1
101493100004,"""Punch have a central group deal for their L&T outlets, please instruct them to speak with their regional manager to learn more""",1
101502600004,"""Punch have a central group deal for their L&T outlets, please instruct them to speak with their regional manager to learn more""",1
101538000004,"""Punch have a central group deal for their L&T outlets, please instruct them to speak with their regional manager to learn more""",1
101548800004,"""Punch have a central group deal for their L&T outlets, please instruct them to speak with their regional manager to learn more""",1
101603800004,"""Punch have a central group deal for their L&T outlets, please instruct them to speak with their regional manager to learn more""",1
101633400004,"""Punch have a central group deal for their L&T outlets, please instruct them to speak with their regional manager to learn more""",1
101640100004,"""Punch have a central group deal for their L&T outlets, please instruct them to speak with their regional manager to learn more""",1
101662300004,"""Punch have a central group deal for their L&T outlets, please instruct them to speak with their regional manager to learn more""",1
101672200004,"""Punch have a central group deal for their L&T outlets, please instruct them to speak with their regional manager to learn more""",1
101672800004,"""Punch have a central group deal for their L&T outlets, please instruct them to speak with their regional manager to learn more""",1
101685700004,"""Punch have a central group deal for their L&T outlets, please instruct them to speak with their regional manager to learn more""",1
101695500004,"""Punch have a central group deal for their L&T outlets, please instruct them to speak with their regional manager to learn more""",1
101698400004,"""Punch have a central group deal for their L&T outlets, please instruct them to speak with their regional manager to learn more""",1
101722300004,"""Punch have a central group deal for their L&T outlets, please instruct them to speak with their regional manager to learn more""",1
101755300004,"""Punch have a central group deal for their L&T outlets, please instruct them to speak with their regional manager to learn more""",1
101775300004,"""Punch have a central group deal for their L&T outlets, please instruct them to speak with their regional manager to learn more""",1
101816200004,"""Punch have a central group deal for their L&T outlets, please instruct them to speak with their regional manager to learn more""",1
101948700004,"""Punch have a central group deal for their L&T outlets, please instruct them to speak with their regional manager to learn more""",1
101963600004,"""Punch have a central group deal for their L&T outlets, please instruct them to speak with their regional manager to learn more""",1
101988100004,"""Punch have a central group deal for their L&T outlets, please instruct them to speak with their regional manager to learn more""",1
101992200004,"""Punch have a central group deal for their L&T outlets, please instruct them to speak with their regional manager to learn more""",1
102018000004,"""Punch have a central group deal for their L&T outlets, please instruct them to speak with their regional manager to learn more""",1
102033200004,"""Punch have a central group deal for their L&T outlets, please instruct them to speak with their regional manager to learn more""",1
102067000004,"""Punch have a central group deal for their L&T outlets, please instruct them to speak with their regional manager to learn more""",1
102143500004,"""Punch have a central group deal for their L&T outlets, please instruct them to speak with their regional manager to learn more""",1
102176200004,"""Punch have a central group deal for their L&T outlets, please instruct them to speak with their regional manager to learn more""",1
102248900004,"""Punch have a central group deal for their L&T outlets, please instruct them to speak with their regional manager to learn more""",1
102249500004,"""Punch have a central group deal for their L&T outlets, please instruct them to speak with their regional manager to learn more""",1
102263900004,"""Punch have a central group deal for their L&T outlets, please instruct them to speak with their regional manager to learn more""",1
102280300004,"""Punch have a central group deal for their L&T outlets, please instruct them to speak with their regional manager to learn more""",1
102289900004,"""Punch have a central group deal for their L&T outlets, please instruct them to speak with their regional manager to learn more""",1
102318500004,"""Punch have a central group deal for their L&T outlets, please instruct them to speak with their regional manager to learn more""",1
102337600004,"""Punch have a central group deal for their L&T outlets, please instruct them to speak with their regional manager to learn more""",1
102383400004,"""Punch have a central group deal for their L&T outlets, please instruct them to speak with their regional manager to learn more""",1
102387300004,"""Punch have a central group deal for their L&T outlets, please instruct them to speak with their regional manager to learn more""",1
102410400004,"""Punch have a central group deal for their L&T outlets, please instruct them to speak with their regional manager to learn more""",1
102411800004,"""Punch have a central group deal for their L&T outlets, please instruct them to speak with their regional manager to learn more""",1
102417200004,"""Punch have a central group deal for their L&T outlets, please instruct them to speak with their regional manager to learn more""",1
102418500004,"""Punch have a central group deal for their L&T outlets, please instruct them to speak with their regional manager to learn more""",1
102430400004,"""Punch have a central group deal for their L&T outlets, please instruct them to speak with their regional manager to learn more""",1
102555100004,"""Punch have a central group deal for their L&T outlets, please instruct them to speak with their regional manager to learn more""",1
102629400004,"""Punch have a central group deal for their L&T outlets, please instruct them to speak with their regional manager to learn more""",1
102676500004,"""Punch have a central group deal for their L&T outlets, please instruct them to speak with their regional manager to learn more""",1
102690100004,"""Punch have a central group deal for their L&T outlets, please instruct them to speak with their regional manager to learn more""",1
102696700004,"""Punch have a central group deal for their L&T outlets, please instruct them to speak with their regional manager to learn more""",1
102768600004,"""Punch have a central group deal for their L&T outlets, please instruct them to speak with their regional manager to learn more""",1
102770200004,"""Punch have a central group deal for their L&T outlets, please instruct them to speak with their regional manager to learn more""",1
102847200004,"""Punch have a central group deal for their L&T outlets, please instruct them to speak with their regional manager to learn more""",1
102903700004,"""Punch have a central group deal for their L&T outlets, please instruct them to speak with their regional manager to learn more""",1
102903800004,"""Punch have a central group deal for their L&T outlets, please instruct them to speak with their regional manager to learn more""",1
102929400004,"""Punch have a central group deal for their L&T outlets, please instruct them to speak with their regional manager to learn more""",1
102938800004,"""Punch have a central group deal for their L&T outlets, please instruct them to speak with their regional manager to learn more""",1
102960100004,"""Punch have a central group deal for their L&T outlets, please instruct them to speak with their regional manager to learn more""",1
103002000004,"""Punch have a central group deal for their L&T outlets, please instruct them to speak with their regional manager to learn more""",1
103004700004,"""Punch have a central group deal for their L&T outlets, please instruct them to speak with their regional manager to learn more""",1
103017400004,"""Punch have a central group deal for their L&T outlets, please instruct them to speak with their regional manager to learn more""",1
103021800004,"""Punch have a central group deal for their L&T outlets, please instruct them to speak with their regional manager to learn more""",1
103175400004,"""Punch have a central group deal for their L&T outlets, please instruct them to speak with their regional manager to learn more""",1
103186100004,"""Punch have a central group deal for their L&T outlets, please instruct them to speak with their regional manager to learn more""",1
103225900004,"""Punch have a central group deal for their L&T outlets, please instruct them to speak with their regional manager to learn more""",1
103298800004,"""Punch have a central group deal for their L&T outlets, please instruct them to speak with their regional manager to learn more""",1
103340700004,"""Punch have a central group deal for their L&T outlets, please instruct them to speak with their regional manager to learn more""",1
103343400004,"""Punch have a central group deal for their L&T outlets, please instruct them to speak with their regional manager to learn more""",1
103347100004,"""Punch have a central group deal for their L&T outlets, please instruct them to speak with their regional manager to learn more""",1
103352000004,"""Punch have a central group deal for their L&T outlets, please instruct them to speak with their regional manager to learn more""",1
103386500004,"""Punch have a central group deal for their L&T outlets, please instruct them to speak with their regional manager to learn more""",1
103439900004,"""Punch have a central group deal for their L&T outlets, please instruct them to speak with their regional manager to learn more""",1
103499700004,"""Punch have a central group deal for their L&T outlets, please instruct them to speak with their regional manager to learn more""",1
103505500004,"""Punch have a central group deal for their L&T outlets, please instruct them to speak with their regional manager to learn more""",1
103523200004,"""Punch have a central group deal for their L&T outlets, please instruct them to speak with their regional manager to learn more""",1
103564400004,"""Punch have a central group deal for their L&T outlets, please instruct them to speak with their regional manager to learn more""",1
103597700004,"""Punch have a central group deal for their L&T outlets, please instruct them to speak with their regional manager to learn more""",1
103617600004,"""Punch have a central group deal for their L&T outlets, please instruct them to speak with their regional manager to learn more""",1
103756500004,"""Punch have a central group deal for their L&T outlets, please instruct them to speak with their regional manager to learn more""",1
103758100004,"""Punch have a central group deal for their L&T outlets, please instruct them to speak with their regional manager to learn more""",1
103758300004,"""Punch have a central group deal for their L&T outlets, please instruct them to speak with their regional manager to learn more""",1
103770000004,"""Punch have a central group deal for their L&T outlets, please instruct them to speak with their regional manager to learn more""",1
103779400004,"""Punch have a central group deal for their L&T outlets, please instruct them to speak with their regional manager to learn more""",1
103879100004,"""Punch have a central group deal for their L&T outlets, please instruct them to speak with their regional manager to learn more""",1
103893800004,"""Punch have a central group deal for their L&T outlets, please instruct them to speak with their regional manager to learn more""",1
103904600004,"""Punch have a central group deal for their L&T outlets, please instruct them to speak with their regional manager to learn more""",1
104044600004,"""Punch have a central group deal for their L&T outlets, please instruct them to speak with their regional manager to learn more""",1
104092300004,"""Punch have a central group deal for their L&T outlets, please instruct them to speak with their regional manager to learn more""",1
104092900004,"""Punch have a central group deal for their L&T outlets, please instruct them to speak with their regional manager to learn more""",1
104127500004,"""Punch have a central group deal for their L&T outlets, please instruct them to speak with their regional manager to learn more""",1
104155500004,"""Punch have a central group deal for their L&T outlets, please instruct them to speak with their regional manager to learn more""",1
104186100004,"""Punch have a central group deal for their L&T outlets, please instruct them to speak with their regional manager to learn more""",1
104196400004,"""Punch have a central group deal for their L&T outlets, please instruct them to speak with their regional manager to learn more""",1
104199600004,"""Punch have a central group deal for their L&T outlets, please instruct them to speak with their regional manager to learn more""",1
104200000004,"""Punch have a central group deal for their L&T outlets, please instruct them to speak with their regional manager to learn more""",1
104201900004,"""Punch have a central group deal for their L&T outlets, please instruct them to speak with their regional manager to learn more""",1
104209200004,"""Punch have a central group deal for their L&T outlets, please instruct them to speak with their regional manager to learn more""",1
104222000004,"""Punch have a central group deal for their L&T outlets, please instruct them to speak with their regional manager to learn more""",1
104293800004,"""Punch have a central group deal for their L&T outlets, please instruct them to speak with their regional manager to learn more""",1
104301400004,"""Punch have a central group deal for their L&T outlets, please instruct them to speak with their regional manager to learn more""",1
104312700004,"""Punch have a central group deal for their L&T outlets, please instruct them to speak with their regional manager to learn more""",1
104412000004,"""Punch have a central group deal for their L&T outlets, please instruct them to speak with their regional manager to learn more""",1
104439300004,"""Punch have a central group deal for their L&T outlets, please instruct them to speak with their regional manager to learn more""",1
104510200004,"""Punch have a central group deal for their L&T outlets, please instruct them to speak with their regional manager to learn more""",1
104552200004,"""Punch have a central group deal for their L&T outlets, please instruct them to speak with their regional manager to learn more""",1
104600700004,"""Punch have a central group deal for their L&T outlets, please instruct them to speak with their regional manager to learn more""",1
104607000004,"""Punch have a central group deal for their L&T outlets, please instruct them to speak with their regional manager to learn more""",1
104677400004,"""Punch have a central group deal for their L&T outlets, please instruct them to speak with their regional manager to learn more""",1
104712800004,"""Punch have a central group deal for their L&T outlets, please instruct them to speak with their regional manager to learn more""",1
104737600004,"""Punch have a central group deal for their L&T outlets, please instruct them to speak with their regional manager to learn more""",1
104798200004,"""Punch have a central group deal for their L&T outlets, please instruct them to speak with their regional manager to learn more""",1
104819900004,"""Punch have a central group deal for their L&T outlets, please instruct them to speak with their regional manager to learn more""",1
104828700004,"""Punch have a central group deal for their L&T outlets, please instruct them to speak with their regional manager to learn more""",1
104938500004,"""Punch have a central group deal for their L&T outlets, please instruct them to speak with their regional manager to learn more""",1
105032500004,"""Punch have a central group deal for their L&T outlets, please instruct them to speak with their regional manager to learn more""",1
105039500004,"""Punch have a central group deal for their L&T outlets, please instruct them to speak with their regional manager to learn more""",1
105052500004,"""Punch have a central group deal for their L&T outlets, please instruct them to speak with their regional manager to learn more""",1
105080900004,"""Punch have a central group deal for their L&T outlets, please instruct them to speak with their regional manager to learn more""",1
105081300004,"""Punch have a central group deal for their L&T outlets, please instruct them to speak with their regional manager to learn more""",1
105126700004,"""Punch have a central group deal for their L&T outlets, please instruct them to speak with their regional manager to learn more""",1
105147800004,"""Punch have a central group deal for their L&T outlets, please instruct them to speak with their regional manager to learn more""",1
105156100004,"""Punch have a central group deal for their L&T outlets, please instruct them to speak with their regional manager to learn more""",1
105160800004,"""Punch have a central group deal for their L&T outlets, please instruct them to speak with their regional manager to learn more""",1
105195900004,"""Punch have a central group deal for their L&T outlets, please instruct them to speak with their regional manager to learn more""",1
105311100004,"""Punch have a central group deal for their L&T outlets, please instruct them to speak with their regional manager to learn more""",1
105338000004,"""Punch have a central group deal for their L&T outlets, please instruct them to speak with their regional manager to learn more""",1
105338600004,"""Punch have a central group deal for their L&T outlets, please instruct them to speak with their regional manager to learn more""",1
105338900004,"""Punch have a central group deal for their L&T outlets, please instruct them to speak with their regional manager to learn more""",1
105345100004,"""Punch have a central group deal for their L&T outlets, please instruct them to speak with their regional manager to learn more""",1
105347400004,"""Punch have a central group deal for their L&T outlets, please instruct them to speak with their regional manager to learn more""",1
105350100004,"""Punch have a central group deal for their L&T outlets, please instruct them to speak with their regional manager to learn more""",1
105375200004,"""Punch have a central group deal for their L&T outlets, please instruct them to speak with their regional manager to learn more""",1
105397700004,"""Punch have a central group deal for their L&T outlets, please instruct them to speak with their regional manager to learn more""",1
105403300004,"""Punch have a central group deal for their L&T outlets, please instruct them to speak with their regional manager to learn more""",1
105406900004,"""Punch have a central group deal for their L&T outlets, please instruct them to speak with their regional manager to learn more""",1
105415000004,"""Punch have a central group deal for their L&T outlets, please instruct them to speak with their regional manager to learn more""",1
105417000004,"""Punch have a central group deal for their L&T outlets, please instruct them to speak with their regional manager to learn more""",1
105438300004,"""Punch have a central group deal for their L&T outlets, please instruct them to speak with their regional manager to learn more""",1
105445500004,"""Punch have a central group deal for their L&T outlets, please instruct them to speak with their regional manager to learn more""",1
105446800004,"""Punch have a central group deal for their L&T outlets, please instruct them to speak with their regional manager to learn more""",1
105554800004,"""Punch have a central group deal for their L&T outlets, please instruct them to speak with their regional manager to learn more""",1
105645400004,"""Punch have a central group deal for their L&T outlets, please instruct them to speak with their regional manager to learn more""",1
105650500004,"""Punch have a central group deal for their L&T outlets, please instruct them to speak with their regional manager to learn more""",1
105654400004,"""Punch have a central group deal for their L&T outlets, please instruct them to speak with their regional manager to learn more""",1
105677600004,"""Punch have a central group deal for their L&T outlets, please instruct them to speak with their regional manager to learn more""",1
105683300004,"""Punch have a central group deal for their L&T outlets, please instruct them to speak with their regional manager to learn more""",1
105685800004,"""Punch have a central group deal for their L&T outlets, please instruct them to speak with their regional manager to learn more""",1
105687800004,"""Punch have a central group deal for their L&T outlets, please instruct them to speak with their regional manager to learn more""",1
105733800004,"""Punch have a central group deal for their L&T outlets, please instruct them to speak with their regional manager to learn more""",1
105737300004,"""Punch have a central group deal for their L&T outlets, please instruct them to speak with their regional manager to learn more""",1
105769800004,"""Punch have a central group deal for their L&T outlets, please instruct them to speak with their regional manager to learn more""",1
