Sky Reference Number - Outlet,Total Weighting,Territory Code
127557000004,37,26
142722000004,37,26
130259000004,37,26
182321000004,37,26
138568000004,37,26
141604000004,37,26
121666000004,37,26
106311000004,37,26
100013000004,37,26
141946000004,37,26
121834000004,35,26
134761000004,35,26
132164000004,35,26
134895000004,35,26
104194000004,35,26
111431000004,35,26
106293000004,35,26
134156000004,35,26
131821000004,35,26
112048000004,35,26
119732000004,35,26
135796000004,32,26
118648000004,32,26
129192000004,32,26
107086000004,32,26
112212000004,32,26
107330000004,32,26
181271000004,32,26
136874000004,32,26
107290000004,32,26
123489000004,32,26
185443000004,30,26
185340000004,30,26
185340000004,30,26
185013000004,30,26
184821000004,30,26
184821000004,30,26
183097000004,30,26
182284000004,30,26
182013000004,30,26
132259000004,30,26
129847000004,30,26
133483000004,30,26
109029000004,30,26
136011000004,30,26
140366000004,30,26
118353000004,30,26
127958000004,30,26
139978000004,30,26
119031000004,30,26
123579000004,30,26
121764000004,30,26
133864000004,30,26
117272000004,30,26
104411000004,30,26
141738000004,9999,27
102997000004,9999,27
185873000004,9999,27
185383000004,9999,27
137300000004,9999,27
100022000044,9999,27
110973000004,9999,27
110755000004,9999,27
185110000004,9999,27
183840000004,9999,27
184228000004,9999,27
185017000004,9999,27
185383000004,9998,27
181310000004,9998,27
181364000004,9998,27
102997000004,9998,27
102243000004,9998,27
141738000004,9998,27
115961000004,42,27
119733000004,40,27
136349000004,40,27
106382000004,40,27
133433000004,40,27
100051000004,40,27
180010000004,40,27
112899000004,37,27
100339000004,37,27
105307000004,37,27
105138000004,37,27
137240000004,37,27
105566000004,37,27
134667000004,37,27
110297000004,37,27
139254000004,37,27
124517000004,37,27
102635000004,37,27
119831000004,37,27
103734000004,37,27
126491000004,37,27
141491000004,37,27
142159000004,37,27
182316000004,37,27
127558000004,37,27
126734000004,37,27
126257000004,35,27
102932000004,32,27
140482000004,32,27
141813000004,32,27
185284000004,30,27
185283000004,30,27
184547000004,30,27
181877000004,30,27
181814000004,30,27
105830000004,30,27
130498000004,30,27
125991000004,30,27
136907000004,30,27
116944000004,30,27
123184000004,30,27
139094000004,30,27
134891000004,30,27
142078000004,30,27
114073000004,30,27
140621000004,30,27
142727000004,30,27
118983000004,30,27
141671000004,30,27
136246000004,30,27
138195000004,30,27
138471000004,30,27
180327000004,30,27
142673000004,30,27
126095000004,30,27
132175000004,30,27
139224000004,30,27
134669000004,30,27
116743000004,30,27
119386000004,30,27
112457000004,30,27
107018000004,30,27
134892000004,30,27
110153000004,30,27
126306000004,30,27
103502000004,30,27
113995000004,30,27
101272000004,30,27
111225000004,30,27
103110000004,30,27
141419000004,30,27
123020000004,30,27
139899000004,30,27
126173000004,30,27
100012000004,30,27
183635000004,30,27
115467000004,30,27
135661000004,30,27
136769000004,30,27
112381000004,30,27
136501000004,30,27
132636000004,30,27
180089000004,9999,28
106908000004,9999,28
140674000004,9999,28
184630000004,9999,28
106190000004,9999,28
120215000004,9999,28
182134000004,9999,28
185978000004,9999,28
184467000004,9999,28
140391000004,9999,28
135166000004,9999,28
109253000004,9999,28
103285000004,9999,28
100051000004,9999,28
127557000004,9999,28
120215000004,9999,28
106190000004,9999,28
105092000004,9999,28
103614000004,9999,28
101079000004,9999,28
100459000004,9999,28
100077000004,9999,28
182134000004,9998,28
103614000004,9998,28
184173000004,9998,28
135166000004,9998,28
109985000004,50,28
100808000004,47,28
105749000004,47,28
120517000004,47,28
137959000004,47,28
136578000004,47,28
105805000004,47,28
181400000004,47,28
120097000004,47,28
134592000004,47,28
142079000004,47,28
115912000004,42,28
107612000004,40,28
116176000004,40,28
120891000004,40,28
140823000004,40,28
108020000004,40,28
122593000004,40,28
134793000004,40,28
182233000004,40,28
111448000004,40,28
100126000004,40,28
129453000004,40,28
182775000004,40,28
127908000004,40,28
110807000004,40,28
134136000004,40,28
139264000004,40,28
100039000052,40,28
101867000004,40,28
119908000004,40,28
122089000004,40,28
100039000052,40,28
102624000004,40,28
100051000004,40,28
184062000004,37,28
121366000004,37,28
121969000004,37,28
125552000004,37,28
103983000004,37,28
124171000004,37,28
138791000004,37,28
100372000004,37,28
108964000004,37,28
103143000004,37,28
137846000004,37,28
139174000004,37,28
123586000004,37,28
114971000004,37,28
103915000004,37,28
131751000004,37,28
127063000004,37,28
111445000004,37,28
117269000004,37,28
130250000004,37,28
184275000004,35,28
101562000004,35,28
131433000004,35,28
113324000004,35,28
133133000004,35,28
101493000004,35,28
114110000004,32,28
126742000004,32,28
185637000004,30,28
184809000004,30,28
184513000004,30,28
184118000004,30,28
183121000004,30,28
183121000004,30,28
183120000004,30,28
182573000004,30,28
182573000004,30,28
182573000004,30,28
182421000004,30,28
