Sky Reference Number - Outlet,Total Weighting,Territory Code,,,,,,
102113600004,9998,37,,,,,,
127972500004,9998,37,,,,,,
180886900004,9998,37,,,,,,
184352500004,9998,37,,,,,,
185253700004,9998,37,,,,,,
185869700004,9998,37,,,,,,
100053200059,9997,37,,,,,,
137077400004,9997,37,,,,,,
102165500004,75,37,,,,,,
102988600004,75,37,,,,,,
103287000004,75,37,,,,,,
103831900004,75,37,,,,,,
104020600004,75,37,,,,,,
104241100004,75,37,,,,,,
104760200004,75,37,,,,,,
105296800004,75,37,,,,,,
105888900004,75,37,,,,,,
106513900004,75,37,,,,,,
106583500004,75,37,,,,,,
109527700004,75,37,,,,,,
110741500004,75,37,,,,,,
110968200004,75,37,,,,,,
111917000004,75,37,,,,,,
115974000004,75,37,,,,,,
117996400004,75,37,,,,,,
118260600004,75,37,,,,,,
119602800004,75,37,,,,,,
119705100004,75,37,,,,,,
120345100004,75,37,,,,,,
123401200004,75,37,,,,,,
128063200004,75,37,,,,,,
129056900004,75,37,,,,,,
129452900004,75,37,,,,,,
130721300004,75,37,,,,,,
131910900004,75,37,,,,,,
134556400004,75,37,,,,,,
135339100004,75,37,,,,,,
135488600004,75,37,,,,,,
135561700004,75,37,,,,,,
136417400004,75,37,,,,,,
136703400004,75,37,,,,,,
138914300004,75,37,,,,,,
139302800004,75,37,,,,,,
139385500004,75,37,,,,,,
139903800004,75,37,,,,,,
140247700004,75,37,,,,,,
180182900004,75,37,,,,,,
181400103437,75,37,,,,,,
181400103454,75,37,,,,,,
181423900004,75,37,,,,,,
182169900004,75,37,,,,,,
182215800004,75,37,,,,,,
182218700004,75,37,,,,,,
182701800004,75,37,,,,,,
183007100004,75,37,,,,,,
183195900004,75,37,,,,,,
183516800023,75,37,,,,,,
183543300004,75,37,,,,,,
183637000004,75,37,,,,,,
183856300004,75,37,,,,,,
184050800004,75,37,,,,,,
184267700004,75,37,,,,,,
184281200004,75,37,,,,,,
184542300004,75,37,,,,,,
184716000004,75,37,,,,,,
185081300004,75,37,,,,,,
100053200055,47,37,,,,,,
102808800004,47,37,,,,,,
105539000004,47,37,,,,,,
108429300004,47,37,,,,,,
110520400004,47,37,,,,,,
119378700004,47,37,,,,,,
130251500004,47,37,,,,,,
132479300004,47,37,,,,,,
132937700004,47,37,,,,,,
133522900004,47,37,,,,,,
134479200004,47,37,,,,,,
139126800004,47,37,,,,,,
139304300004,47,37,,,,,,
139499300004,47,37,,,,,,
140084900004,47,37,,,,,,
180121000004,47,37,,,,,,
183132900004,47,37,,,,,,
100053200014,42,37,,,,,,
100384700004,42,37,,,,,,
110984700004,42,37,,,,,,
123715900004,42,37,,,,,,
128030700004,42,37,,,,,,
130095800004,42,37,,,,,,
132547200004,42,37,,,,,,
136571300004,42,37,,,,,,
101997900004,40,37,,,,,,
103219000004,40,37,,,,,,
103932100004,40,37,,,,,,
105066000004,40,37,,,,,,
106280100004,40,37,,,,,,
106838000004,40,37,,,,,,
109443100004,40,37,,,,,,
109683800004,40,37,,,,,,
111143200004,40,37,,,,,,
111299100004,40,37,,,,,,
116853000004,40,37,,,,,,
117771300004,40,37,,,,,,
118705800004,40,37,,,,,,
119527100004,40,37,,,,,,
122592200004,40,37,,,,,,
122741800004,40,37,,,,,,
123179000004,40,37,,,,,,
126659700004,40,37,,,,,,
127803600004,40,37,,,,,,
129311000004,40,37,,,,,,
130028800004,40,37,,,,,,
130499100004,40,37,,,,,,
132054400004,40,37,,,,,,
132405700004,40,37,,,,,,
133342300004,40,37,,,,,,
134756600004,40,37,,,,,,
134756700004,40,37,,,,,,
140527600004,40,37,,,,,,
142705700004,40,37,,,,,,
182756300004,40,37,,,,,,
