Sky Ref Number,Weighting Value,Territory
102135300004,9999,8
104790300004,9998,8
105145900004,9998,8
185592100004,9998,8
185827800004,9998,8
100450100004,75,8
100604500004,75,8
101158700004,75,8
101457900004,75,8
101735300004,75,8
101807100004,75,8
102375100004,75,8
103547200004,75,8
103598700004,75,8
103647200004,75,8
106708900004,75,8
109624400004,75,8
111941900004,75,8
112250400004,75,8
122836300004,75,8
131844600004,75,8
132431800004,75,8
134216800004,75,8
135963000004,75,8
136457900004,75,8
141743500004,75,8
180125200004,75,8
182733300004,75,8
182746700004,75,8
183608600004,75,8
183938400004,75,8
100463400004,47,8
102180300004,47,8
117353600004,47,8
123012600004,47,8
127227400004,47,8
130948400004,47,8
132590300004,47,8
134832100004,47,8
136547600004,47,8
111888100004,42,8
133476800004,42,8
180834000004,42,8
100032400377,40,8
100571300004,40,8
102570100004,40,8
102733200004,40,8
103919400004,40,8
103992800004,40,8
104066900004,40,8
104518100004,40,8
104552700004,40,8
104561200004,40,8
105587700004,40,8
105722600004,40,8
106312600004,40,8
107052300004,40,8
107279500004,40,8
110499700004,40,8
110578700004,40,8
110718700004,40,8
110728600004,40,8
111160500004,40,8
111641700004,40,8
111941500004,40,8
112369200004,40,8
112443200004,40,8
112553800004,40,8
112791000004,40,8
112871500004,40,8
112876200004,40,8
112980600004,40,8
113128300004,40,8
113259100004,40,8
113814200004,40,8
114175600004,40,8
115154900004,40,8
116518100004,40,8
116563900004,40,8
117070000004,40,8
117359000004,40,8
117448600004,40,8
117450900004,40,8
118931600004,40,8
118947200004,40,8
119203000004,40,8
120097900004,40,8
120209300004,40,8
120354700004,40,8
120741100004,40,8
121016800004,40,8
121106800004,40,8
121335300004,40,8
122119300004,40,8
122914500004,40,8
124130000004,40,8
125246500004,40,8
125987300004,40,8
127960100004,40,8
128361300004,40,8
128546700004,40,8
128703900004,40,8
129530700004,40,8
130993100004,40,8
131312100004,40,8
131917300004,40,8
132125600004,40,8
132629300004,40,8
132913900004,40,8
132935400004,40,8
133074300004,40,8
133228400004,40,8
133489900004,40,8
134396200004,40,8
135076100004,40,8
135078000004,40,8
135198900004,40,8
135921400004,40,8
136357100004,40,8
136657600004,40,8
136750100004,40,8
137282600004,40,8
137481900004,40,8
139155000004,40,8
139936900004,40,8
140299500004,40,8
140415600004,40,8
141867600004,40,8
141882000004,40,8
142568100004,40,8
180444900004,40,8
181509500004,40,8
181969300004,40,8
182406500004,40,8
100350400004,37,8
101412900004,37,8
115685900004,37,8
118774000004,37,8
132571400004,37,8
134396800004,37,8
135449800004,37,8
136755700004,37,8
139756300004,37,8
181327000004,37,8
184936300004,37,8
100014800026,35,8
100547500004,35,8
106100000004,35,8
