Sky Reference Number - Outlet,Total Weighting,Territory Code,,,,,,
101049500004,9999,11,,,,,,
106352500004,9999,11,,,,,,
100868900004,9998,11,,,,,,
183991800004,9998,11,,,,,,
184158300004,9998,11,,,,,,
185016900004,9998,11,,,,,,
100062500006,9997,11,,,,,,
101650200004,9997,11,,,,,,
102401400004,9997,11,,,,,,
115268000004,9997,11,,,,,,
142202200004,9997,11,,,,,,
100581200004,75,11,,,,,,
101566900004,75,11,,,,,,
101877300004,75,11,,,,,,
102645900004,75,11,,,,,,
122655700004,75,11,,,,,,
180524800004,75,11,,,,,,
180967400004,75,11,,,,,,
183507500245,75,11,,,,,,
184614200004,75,11,,,,,,
185313500004,75,11,,,,,,
109004200004,47,11,,,,,,
117699500004,47,11,,,,,,
126669000004,47,11,,,,,,
136512600004,42,11,,,,,,
102078000004,40,11,,,,,,
102986900004,40,11,,,,,,
106285900004,40,11,,,,,,
106395700004,40,11,,,,,,
106880000004,40,11,,,,,,
109505300004,40,11,,,,,,
115260400004,40,11,,,,,,
115785500004,40,11,,,,,,
116245300004,40,11,,,,,,
117440000004,40,11,,,,,,
122604500004,40,11,,,,,,
122735200004,40,11,,,,,,
123503900004,40,11,,,,,,
123567700004,40,11,,,,,,
124928800004,40,11,,,,,,
125218900004,40,11,,,,,,
126042900004,40,11,,,,,,
126151100004,40,11,,,,,,
126739100004,40,11,,,,,,
127952200004,40,11,,,,,,
130034300004,40,11,,,,,,
130100200004,40,11,,,,,,
130728200004,40,11,,,,,,
133343500004,40,11,,,,,,
134281400004,40,11,,,,,,
134825900004,40,11,,,,,,
139764500004,40,11,,,,,,
141326900004,40,11,,,,,,
141491000004,40,11,,,,,,
102175700004,37,11,,,,,,
103536800004,37,11,,,,,,
106334600004,37,11,,,,,,
113862500004,37,11,,,,,,
119434600004,37,11,,,,,,
122586300004,37,11,,,,,,
133477400004,37,11,,,,,,
134707500004,37,11,,,,,,
135774100004,37,11,,,,,,
141598600004,37,11,,,,,,
141865200004,37,11,,,,,,
142157900004,37,11,,,,,,
184921500004,37,11,,,,,,
106285600004,35,11,,,,,,
115681800004,35,11,,,,,,
128426000004,35,11,,,,,,
141819900004,35,11,,,,,,
105364300004,32,11,,,,,,
106151400004,32,11,,,,,,
110620400004,32,11,,,,,,
137514900004,32,11,,,,,,
100021400015,30,11,,,,,,
100022400008,30,11,,,,,,
100142600004,30,11,,,,,,
100595500004,30,11,,,,,,
100657100004,30,11,,,,,,
101439800004,30,11,,,,,,
103349500004,30,11,,,,,,
103446300004,30,11,,,,,,
105878400004,30,11,,,,,,
106118400004,30,11,,,,,,
106119300004,30,11,,,,,,
106196200004,30,11,,,,,,
106200000004,30,11,,,,,,
106286300004,30,11,,,,,,
106776000004,30,11,,,,,,
110202300004,30,11,,,,,,
110361500004,30,11,,,,,,
110528900004,30,11,,,,,,
110620800004,30,11,,,,,,
110646500004,30,11,,,,,,
110758800004,30,11,,,,,,
111126000004,30,11,,,,,,
112477500004,30,11,,,,,,
113311300004,30,11,,,,,,
114090300004,30,11,,,,,,
115693700004,30,11,,,,,,
115757200004,30,11,,,,,,
115784000004,30,11,,,,,,
116346100004,30,11,,,,,,
116810600004,30,11,,,,,,
117143300004,30,11,,,,,,
117144200004,30,11,,,,,,
117894200004,30,11,,,,,,
119637400004,30,11,,,,,,
120595400004,30,11,,,,,,
120635200004,30,11,,,,,,
124776500004,30,11,,,,,,
125040500004,30,11,,,,,,
125051900004,30,11,,,,,,
125130200004,30,11,,,,,,
126034300004,30,11,,,,,,
127902200004,30,11,,,,,,
128503000004,30,11,,,,,,
128561000004,30,11,,,,,,
129387000004,30,11,,,,,,
130016200004,30,11,,,,,,
130115300004,30,11,,,,,,
130220200004,30,11,,,,,,
131717500004,30,11,,,,,,
132717100004,30,11,,,,,,
133766700004,30,11,,,,,,
134596100004,30,11,,,,,,
135396600004,30,11,,,,,,
135876600004,30,11,,,,,,
136307400004,30,11,,,,,,
136324800004,30,11,,,,,,
136347800004,30,11,,,,,,
141998800004,30,11,,,,,,
142663200004,30,11,,,,,,
180051900004,30,11,,,,,,
181704000004,30,11,,,,,,
182678100004,30,11,,,,,,
184069300004,30,11,,,,,,
184963700004,30,11,,,,,,
185732000004,30,11,,,,,,
104070700004,27,11,,,,,,
122090400004,27,11,,,,,,
100765100004,25,11,,,,,,
103951200004,25,11,,,,,,
106088700004,25,11,,,,,,
106176700004,25,11,,,,,,
106429600004,25,11,,,,,,
107457400004,25,11,,,,,,
108919200004,25,11,,,,,,
109026100004,25,11,,,,,,
109409100004,25,11,,,,,,
109732600004,25,11,,,,,,
110157000004,25,11,,,,,,
110387300004,25,11,,,,,,
110405200004,25,11,,,,,,
110412700004,25,11,,,,,,
110649100004,25,11,,,,,,
111905200004,25,11,,,,,,
111924700004,25,11,,,,,,
111970800004,25,11,,,,,,
113291600004,25,11,,,,,,
113863300004,25,11,,,,,,
115926100004,25,11,,,,,,
116259800004,25,11,,,,,,
117794300004,25,11,,,,,,
118952800004,25,11,,,,,,
121598200004,25,11,,,,,,
122066200004,25,11,,,,,,
123505100004,25,11,,,,,,
123505500004,25,11,,,,,,
124912700004,25,11,,,,,,
125033800004,25,11,,,,,,
125577900004,25,11,,,,,,
125978200004,25,11,,,,,,
126594800004,25,11,,,,,,
126738700004,25,11,,,,,,
130033600004,25,11,,,,,,
130034100004,25,11,,,,,,
130259600004,25,11,,,,,,
130374400004,25,11,,,,,,
130664400004,25,11,,,,,,
130955600004,25,11,,,,,,
131099400004,25,11,,,,,,
131744500004,25,11,,,,,,
131843000004,25,11,,,,,,
131880600004,25,11,,,,,,
132376400004,25,11,,,,,,
132393700004,25,11,,,,,,
134772400004,25,11,,,,,,
134990500004,25,11,,,,,,
136202500004,25,11,,,,,,
136249200004,25,11,,,,,,
136517800004,25,11,,,,,,
