Sky Reference Number - Outlet,Total Weighting,Territory Code
183484000004,30,13
184747100004,30,13
184777500004,30,13
185253300004,30,13
185357600004,30,13
111130200004,27,13
100041100013,25,13
102222300004,25,13
110432200004,25,13
114787600004,25,13
118325900004,25,13
119749100004,25,13
121318900004,25,13
122323600004,25,13
130224600004,25,13
181685400004,25,13
184779300004,25,13
118596000004,22,13
103001200004,20,13
110916900004,20,13
113465800004,20,13
114201900004,20,13
114579400004,20,13
115078500004,20,13
118966200004,20,13
100018000119,9999,14
100366100004,9999,14
100491500004,9999,14
101040500004,9999,14
103361700004,9999,14
104391200004,9999,14
113308900004,9999,14
117808100004,9999,14
119276700004,9999,14
125113900004,9999,14
125578500004,9999,14
126359300004,9999,14
129337000004,9999,14
135759300004,9999,14
180550900004,9999,14
180838100004,9999,14
181458200004,9999,14
181586300004,9999,14
183971200004,9999,14
184269600004,9999,14
185577100004,9999,14
185763600004,9999,14
102399100004,9998,14
100032400259,75,14
101440400004,75,14
102578700004,75,14
102887300004,75,14
103141100004,75,14
105331400004,75,14
112819800004,75,14
122585900004,75,14
123929200004,75,14
132017500004,75,14
132061300004,75,14
133183400004,75,14
134428200004,75,14
136132800004,75,14
136516600004,75,14
137234000004,75,14
139779500004,75,14
142616400004,75,14
180404800004,75,14
180424100004,75,14
180507500004,75,14
181400101633,75,14
181400101704,75,14
181400101721,75,14
181400101920,75,14
181903500004,75,14
181932900004,75,14
182086700004,75,14
182172100004,75,14
182228300004,75,14
182608900004,75,14
182617600004,75,14
182695800004,75,14
183507500093,75,14
183507500108,75,14
183516100004,75,14
183620700004,75,14
183775700004,75,14
183858800004,75,14
184003500004,75,14
184095800004,75,14
184245100004,75,14
184281800004,75,14
184417700004,75,14
184506800004,75,14
184540700004,75,14
184747000004,75,14
184895300004,75,14
185123900004,75,14
185999000004,75,14
104784100004,47,14
127414800004,47,14
106842600004,42,14
128400300004,42,14
139219500004,42,14
100039100026,40,14
103364300004,40,14
105053500004,40,14
105674300004,40,14
108950600004,40,14
110825300004,40,14
115040000004,40,14
118809600004,40,14
122576700004,40,14
125950300004,40,14
130627300004,40,14
137570300004,40,14
142640200004,40,14
102240300004,37,14
109730700004,37,14
110889700004,37,14
117272800004,37,14
118657500004,37,14
128405100004,37,14
139593200004,37,14
102010100004,35,14
106525400004,35,14
125418800004,35,14
139449900004,35,14
108842500004,32,14
109730300004,32,14
113587400004,32,14
139619400004,32,14
100018200087,30,14
100032400278,30,14
100039100022,30,14
100039100032,30,14
100062500038,30,14
100422700004,30,14
100726900004,30,14
101495400004,30,14
101530800004,30,14
101723800004,30,14
101782300004,30,14
102055700004,30,14
102293500004,30,14
102402600004,30,14
102762500004,30,14
102803300004,30,14
103412300004,30,14
103799600004,30,14
104063400004,30,14
104237700004,30,14
105267300004,30,14
106553100004,30,14
106616800004,30,14
106751000004,30,14
106843000004,30,14
106844000004,30,14
106844500004,30,14
107601500004,30,14
109418100004,30,14
109935000004,30,14
110803900004,30,14
114760200004,30,14
114992000004,30,14
115073600004,30,14
115908600004,30,14
116382100004,30,14
117534300004,30,14
118841500004,30,14
119118500004,30,14
119581300004,30,14
119833700004,30,14
120424000004,30,14
121310400004,30,14
121810300004,30,14
125781000004,30,14
130104000004,30,14
130699900004,30,14
131516700004,30,14
132579100004,30,14
133362800004,30,14
134064800004,30,14
134428700004,30,14
135083100004,30,14
137011100004,30,14
137669600004,30,14
139651900004,30,14
139729000004,30,14
139933600004,30,14
142024600004,30,14
142706000004,30,14
180070000004,30,14
181451300004,30,14
183700400004,30,14
183755400004,30,14
184094100004,30,14
184134800004,30,14
184226700004,30,14
184597300004,30,14
185277100004,30,14
101389000004,27,14
107367700004,27,14
127812400004,27,14
100056200048,25,14
100617000004,25,14
102125200004,25,14
103539800004,25,14
104513500004,25,14
104575000004,25,14
106279100004,25,14
106609900004,25,14
106616100004,25,14
106842200004,25,14
108169300004,25,14
108208000004,25,14
110892500004,25,14
112080100004,25,14
112800000004,25,14
117449000004,25,14
119448900004,25,14
120034700004,25,14
122335500004,25,14
125354400004,25,14
125508600004,25,14
125998400004,25,14
100050700319,9999,15
100190900004,9999,15
100615000004,9999,15
102686100004,9999,15
107024800004,9999,15
107305100004,9999,15
118637900004,9999,15
126634600004,9999,15
134401100004,9999,15
134863500004,9999,15
135510600004,9999,15
136325400004,9999,15
136501100004,9999,15
139678200004,9999,15
140048200004,9999,15
140886500004,9999,15
142679700004,9999,15
180296400004,9999,15
182613900004,9999,15
183774500004,9999,15
183867800004,9999,15
184250300004,9999,15
184266200004,9999,15
184284300004,9999,15
184460400004,9999,15
184493500004,9999,15
184677900004,9999,15
184685300004,9999,15
184725400004,9999,15
185241000004,9999,15
185294100004,9999,15
185528300004,9999,15
185537800004,9999,15
185911400004,9999,15
180376700004,9998,15
185160100004,9998,15
101240300004,75,15
104655900004,75,15
105283400004,75,15
129650500004,75,15
129824300004,75,15
137320800004,75,15
139255700004,75,15
139345400004,75,15
139632300004,75,15
139642200004,75,15
141195100004,75,15
141620500004,75,15
142678600004,75,15
180884700017,75,15
180912400004,75,15
181272000004,75,15
181400100100,75,15
181400101143,75,15
181400101244,75,15
181607000004,75,15
181955900004,75,15
182406000004,75,15
182558000004,75,15
182731800004,75,15
182753100004,75,15
182753300004,75,15
182898100004,75,15
182971800004,75,15
183144800004,75,15
183181300004,75,15
183809400004,75,15
184080900004,75,15
184172900004,75,15
184326300004,75,15
184437200004,75,15
184486000004,75,15
184582300004,75,15
184635200004,75,15
184701800004,75,15
186002600004,75,15
140615700004,57,15
100032400213,47,15
100041100014,47,15
100050700274,47,15
106649700004,47,15
107277500004,47,15
112623500004,47,15
115983900004,47,15
117510700004,47,15
134794700004,47,15
135030700004,47,15
141961300004,47,15
142678900004,47,15
181459300004,47,15
102197300004,42,15
106994400004,42,15
133676500004,42,15
137403100004,42,15
100056200028,40,15
101180800004,40,15
101686300004,40,15
102166500004,40,15
103442400004,40,15
104721300004,40,15
105776000004,40,15
106643700004,40,15
107074500004,40,15
107368100004,40,15
107507700004,40,15
107617600004,40,15
109523900004,40,15
112050500004,40,15
117374900004,40,15
117646800004,40,15
118254500004,40,15
119091800004,40,15
119141300004,40,15
119585900004,40,15
120363500004,40,15
123284900004,40,15
123387100004,40,15
125318500004,40,15
125643500004,40,15
125936000004,40,15
126098400004,40,15
127669800004,40,15
128068700004,40,15
129458600004,40,15
133020000004,40,15
133483100004,40,15
134375700004,40,15
135094500004,40,15
136112200004,40,15
137414700004,40,15
140103400004,40,15
141693400004,40,15
141750400004,40,15
141832000004,40,15
142368000004,40,15
181603900004,40,15
182763300004,40,15
183057300004,40,15
100032400365,37,15
100036700013,37,15
100041100027,37,15
100041100033,37,15
100490400004,37,15
101665200004,37,15
101885200004,37,15
102463700004,37,15
102757800004,37,15
107475400004,37,15
109594100004,37,15
110831700004,37,15
112050900004,37,15
112418000004,37,15
115174700004,37,15
115190600004,37,15
115958600004,37,15
116030000004,37,15
118935400004,37,15
119274500004,37,15
121486400004,37,15
124817900004,37,15
126872500004,37,15
127277000004,37,15
128778500004,37,15
129473700004,37,15
130605600004,37,15
130683800004,37,15
131494000004,37,15
132959000004,37,15
137000700004,37,15
139337800004,37,15
139405100004,37,15
140894900004,37,15
141726400004,37,15
142663300004,37,15
142709000004,37,15
184878900004,37,15
102865200004,35,15
103255900004,35,15
105837700004,35,15
118047100004,35,15
126006400004,35,15
127670200004,35,15
130467300004,35,15
130632700004,35,15
139433300004,35,15
140716000004,35,15
142685400004,35,15
181400101316,35,15
109504100004,32,15
112516500004,32,15
126892700004,32,15
130599200004,32,15
100011700195,30,15
100016500022,30,15
100022400107,30,15
100022400142,30,15
100049100050,30,15
100050700287,30,15
