Sky Reference Number - Outlet,Total Weighting,Territory Code
100050700164,40,27
100050700179,40,29
100050700210,40,28
100050700245,30,29
100050700274,47,15
100050700285,7,27
100050700287,30,15
100050700289,30,15
100050700290,0,17
100050700293,30,32
100050700308,30,5
100050700333,30,15
100050700359,30,15
100050700372,30,17
100050700534,10,5
100050700618,30,35
100050700623,30,41
100050700628,30,20
100050700642,0,38
100050700646,40,36
100050700751,30,8
100050700783,30,18
100050700789,30,15
100051400008,37,40
100051400015,30,9
100051400018,37,17
100051400032,37,38
100051400033,47,23
100051400048,7,5
100051400061,25,40
100051400096,30,29
100051400099,0,14
100051400100,30,37
100051400114,30,23
100051400132,30,25
100051400141,30,4
100051400158,30,25
100051400178,0,9
100053200014,42,37
100053200022,25,37
100053200050,37,37
100053200055,47,37
100053400012,30,39
100053400023,25,43
100054100030,10,41
100054100035,10,42
100055100010,12,21
100055100013,0,21
100056200028,40,15
100056200048,25,14
100056200086,40,17
100056800017,10,25
100057200035,25,2
100057200097,30,25
100058600009,40,6
100059300015,0,41
100059300018,30,41
100059300032,30,41
100059300054,25,40
100059800008,7,5
100059800013,30,5
100060800020,30,41
100061900090,10,19
100062500038,30,14
100062500111,9999,2
100066200004,30,37
100066800004,20,8
100067300004,30,25
100067900004,20,24
100068700004,30,8
100069700004,30,9
100071600004,57,23
100072100004,20,18
100076100004,20,16
100077300004,9999,28
100078100004,0,10
100079800004,40,7
100079900004,0,40
100081000004,20,10
100083000004,30,21
100084300004,30,22
100087300004,30,20
100087600004,20,1
100090800004,7,28
100091300004,10,22
100094100004,9999,41
100095200004,0,10
100096200004,15,37
100097100004,0,2
100099600004,0,25
100100900004,0,2
100104700004,20,40
100106500004,0,26
100109100004,17,1
100109600004,0,44
100110000004,0,1
100111100004,10,8
100111600004,10,40
100112200004,0,3
100112500004,30,24
100112600004,15,30
100113400004,0,28
100113900004,20,21
100116500004,0,41
100116700004,10,2
100117000004,0,23
100118700004,27,26
100120000004,0,24
100122000004,40,33
100122200004,37,39
100122800004,30,13
100122900004,9999,4
100123400004,25,1
100123900004,0,9
100125600004,40,28
100126300004,17,1
100126600004,5,24
100127900004,20,23
100128000004,30,25
100128500004,10,38
100130100004,5,22
