Sky Reference Number - Outlet,Total Weighting,Territory Code,,,,,,
185244500004,9999,21,,,,,,
185492500004,9999,21,,,,,,
185933400004,9999,21,,,,,,
106079600004,9997,21,,,,,,
120209200004,9997,21,,,,,,
100049100046,75,21,,,,,,
100049200020,75,21,,,,,,
100050700406,75,21,,,,,,
102680100004,75,21,,,,,,
103224100004,75,21,,,,,,
104382600004,75,21,,,,,,
106515200004,75,21,,,,,,
107508100004,75,21,,,,,,
115033300004,75,21,,,,,,
115409800004,75,21,,,,,,
116614200004,75,21,,,,,,
117292700004,75,21,,,,,,
122327100004,75,21,,,,,,
125503900004,75,21,,,,,,
126644500004,75,21,,,,,,
128987700004,75,21,,,,,,
129327700004,75,21,,,,,,
131753100004,75,21,,,,,,
131937400004,75,21,,,,,,
132412200004,75,21,,,,,,
134256100004,75,21,,,,,,
140381400004,75,21,,,,,,
180203700004,75,21,,,,,,
180252800004,75,21,,,,,,
180408700004,75,21,,,,,,
181400102617,75,21,,,,,,
182000400004,75,21,,,,,,
182090000004,75,21,,,,,,
182348800004,75,21,,,,,,
182773400004,75,21,,,,,,
183042700004,75,21,,,,,,
184075400006,75,21,,,,,,
184185600004,75,21,,,,,,
184266900004,75,21,,,,,,
184342200004,75,21,,,,,,
119047100004,44,21,,,,,,
102055000004,40,21,,,,,,
104792700004,40,21,,,,,,
106820300004,40,21,,,,,,
107509200004,40,21,,,,,,
111720400004,40,21,,,,,,
112183200004,40,21,,,,,,
113540800004,40,21,,,,,,
114994800004,40,21,,,,,,
115088900004,40,21,,,,,,
119557100004,40,21,,,,,,
120469500004,40,21,,,,,,
136942300004,40,21,,,,,,
137260600004,40,21,,,,,,
137670200004,40,21,,,,,,
137829800004,40,21,,,,,,
139543000004,40,21,,,,,,
140863700004,40,21,,,,,,
100929700004,37,21,,,,,,
114178000004,37,21,,,,,,
114653700004,37,21,,,,,,
115619600004,37,21,,,,,,
116025900004,37,21,,,,,,
134186800004,37,21,,,,,,
135687800004,37,21,,,,,,
139634100004,37,21,,,,,,
184995300004,37,21,,,,,,
110587200004,35,21,,,,,,
119217400004,35,21,,,,,,
127541400004,35,21,,,,,,
134237600004,35,21,,,,,,
136571400004,35,21,,,,,,
100018200159,30,21,,,,,,
101733800004,30,21,,,,,,
103351600004,30,21,,,,,,
103823000004,30,21,,,,,,
104252500004,30,21,,,,,,
105434500004,30,21,,,,,,
106434700004,30,21,,,,,,
107370300004,30,21,,,,,,
107787900004,30,21,,,,,,
107989900004,30,21,,,,,,
108944600004,30,21,,,,,,
108945800004,30,21,,,,,,
109065700004,30,21,,,,,,
109138700004,30,21,,,,,,
109315800004,30,21,,,,,,
109617500004,30,21,,,,,,
109772700004,30,21,,,,,,
109776700004,30,21,,,,,,
110559000004,30,21,,,,,,
110752200004,30,21,,,,,,
110826100004,30,21,,,,,,
111234100004,30,21,,,,,,
111362100004,30,21,,,,,,
