Sky Reference Number - Outlet,Total Weighting,Territory Code,,,,,,
101918100004,9999,1,,,,,,
105770500004,9999,1,,,,,,
117289400004,9999,1,,,,,,
180069300004,9999,1,,,,,,
182279200004,9999,1,,,,,,
184733700004,9999,1,,,,,,
185455400004,9999,1,,,,,,
185857400004,9999,1,,,,,,
105921800004,9998,1,,,,,,
100773700004,9997,1,,,,,,
102265400004,9997,1,,,,,,
102330300004,9997,1,,,,,,
102785900004,9997,1,,,,,,
102856000004,9997,1,,,,,,
104111900004,9997,1,,,,,,
104790000004,9997,1,,,,,,
105842700004,9997,1,,,,,,
136876100004,9997,1,,,,,,
136935200004,9997,1,,,,,,
100044500081,75,1,,,,,,
100272100004,75,1,,,,,,
100386800004,75,1,,,,,,
100765200004,75,1,,,,,,
100919300004,75,1,,,,,,
101525800004,75,1,,,,,,
101990400004,75,1,,,,,,
102416600004,75,1,,,,,,
102782600004,75,1,,,,,,
103058500004,75,1,,,,,,
103316300004,75,1,,,,,,
103710600004,75,1,,,,,,
104450700004,75,1,,,,,,
105132300004,75,1,,,,,,
105150200004,75,1,,,,,,
105262600004,75,1,,,,,,
105971300004,75,1,,,,,,
109886400004,75,1,,,,,,
132683600004,75,1,,,,,,
136221300004,75,1,,,,,,
137877300004,75,1,,,,,,
137938500004,75,1,,,,,,
181481300004,75,1,,,,,,
181901200004,75,1,,,,,,
182178300004,75,1,,,,,,
182307600004,75,1,,,,,,
182440300004,75,1,,,,,,
182475200004,75,1,,,,,,
182476500004,75,1,,,,,,
182527800004,75,1,,,,,,
182530900004,75,1,,,,,,
182616300004,75,1,,,,,,
182631800004,75,1,,,,,,
182758000004,75,1,,,,,,
182834500004,75,1,,,,,,
183619300004,75,1,,,,,,
183676800004,75,1,,,,,,
184070500004,75,1,,,,,,
184307600004,75,1,,,,,,
184377600004,75,1,,,,,,
184693500004,75,1,,,,,,
137248400004,44,1,,,,,,
100320400004,40,1,,,,,,
100617200004,40,1,,,,,,
100714400004,40,1,,,,,,
103353200004,40,1,,,,,,
108495100004,40,1,,,,,,
112649700004,40,1,,,,,,
113918300004,40,1,,,,,,
118525000004,40,1,,,,,,
118796200004,40,1,,,,,,
119427600004,40,1,,,,,,
124698000004,40,1,,,,,,
126730900004,40,1,,,,,,
136711300004,40,1,,,,,,
137852200004,40,1,,,,,,
142198200004,40,1,,,,,,
100676800004,37,1,,,,,,
100880200004,37,1,,,,,,
103908700004,37,1,,,,,,
104771600004,37,1,,,,,,
105445200004,37,1,,,,,,
106597800004,37,1,,,,,,
107491200004,37,1,,,,,,
107926300004,37,1,,,,,,
110123300004,37,1,,,,,,
110366400004,37,1,,,,,,
112456400004,37,1,,,,,,
112726400004,37,1,,,,,,
115689500004,37,1,,,,,,
115973300004,37,1,,,,,,
117103500004,37,1,,,,,,
119594600004,37,1,,,,,,
121892300004,37,1,,,,,,
123024900004,37,1,,,,,,
124723000004,37,1,,,,,,
125127400004,37,1,,,,,,
126660800004,37,1,,,,,,
127687500004,37,1,,,,,,
128390600004,37,1,,,,,,
128785900004,37,1,,,,,,
130744700004,37,1,,,,,,
130863600004,37,1,,,,,,
131219800004,37,1,,,,,,
132297400004,37,1,,,,,,
136093900004,37,1,,,,,,
