Sky Reference Number - Outlet,Total Weighting,Territory Code
100018200037,44,11
100021400015,30,11
100022400008,30,11
100142600004,30,11
100581200004,0,11
100595500004,30,11
100610000004,0,11
100657100004,30,11
100699800004,20,11
100765100004,25,11
100901100004,0,11
101300100004,10,11
101439800004,30,11
101497800004,10,11
101540800004,7,11
101547300004,10,11
101639000004,10,11
101708000004,15,11
101816800004,0,11
101877300004,7,11
101885400004,40,11
101937400004,0,11
102078000004,40,11
102175700004,37,11
102195800004,20,11
102410300004,0,11
102645900004,15,11
102986900004,40,11
103193200004,30,11
103271900004,0,11
103273600004,0,11
103349500004,30,11
103383200004,30,11
103529200004,0,11
103638200004,15,11
103816500004,10,11
103951200004,25,11
104040500004,12,11
104070700004,27,11
104656200004,30,11
104830200004,10,11
105065200004,20,11
105364300004,32,11
105475400004,10,11
106088700004,25,11
106096900004,20,11
106097200004,20,11
106118400004,30,11
106119300004,30,11
106151400004,32,11
106151900004,10,11
106176700004,25,11
106196200004,30,11
106196600004,10,11
106200000004,30,11
106221000004,5,11
106285600004,35,11
106285900004,40,11
106286300004,30,11
106334600004,37,11
106352500004,9998,11
106395700004,40,11
106396000004,10,11
106403100004,25,11
106429600004,25,11
106430400004,10,11
106880000004,40,11
106912400004,20,11
107104900004,25,11
107240200004,20,11
107457400004,25,11
107481800004,10,11
107527200004,10,11
107975600004,20,11
108129800004,10,11
108180200004,0,11
108239600004,10,11
108253500004,10,11
108399500004,0,11
108505600004,10,11
108846600004,10,11
108919200004,25,11
108995800004,20,11
109004200004,47,11
109026100004,25,11
109274000004,10,11
109409100004,25,11
109505300004,40,11
109573000004,10,11
109592400004,10,11
109592500004,10,11
109732600004,25,11
110157000004,25,11
110202300004,30,11
110253600004,10,11
110361500004,30,11
110387300004,25,11
110388200004,17,11
110405200004,25,11
110412700004,25,11
110480500004,10,11
110528900004,30,11
110620400004,32,11
110620800004,30,11
110636200004,20,11
110646500004,30,11
110649100004,25,11
110709200004,40,11
110758800004,30,11
110833000004,20,11
111124800004,10,11
111126000004,30,11
111126400004,0,11
111346600004,10,11
111905200004,25,11
111924700004,25,11
111970800004,25,11
112097900004,10,11
112266400004,10,11
112475900004,25,11
112477500004,30,11
113253900004,15,11
113291600004,25,11
113311300004,30,11
113480900004,0,11
113855200004,20,11
113862500004,37,11
113863300004,25,11
113920300004,17,11
114089100004,20,11
114090300004,30,11
114176500004,30,11
114371800004,10,11
114443700004,10,11
114444100004,10,11
114444500004,10,11
114463400004,10,11
114555200004,15,11
114980500004,5,11
115146700004,10,11
115260400004,40,11
115300300004,0,11
115321600004,25,11
115418800004,10,11
115543100004,15,11
115681800004,35,11
115693700004,30,11
115717200004,15,11
115718100004,5,11
115757200004,30,11
115784000004,30,11
115785500004,40,11
115848600004,5,11
115849500004,20,11
115926100004,25,11
115950700004,10,11
115953500004,20,11
115956700004,30,11
116051000004,10,11
116091400004,10,11
116145100004,7,11
116172600004,0,11
116245300004,40,11
116246200004,20,11
116259800004,25,11
116346100004,30,11
116556800004,20,11
116809700004,10,11
117143300004,30,11
117144200004,30,11
117440000004,40,11
117464600004,10,11
117536400004,20,11
117549000004,20,11
117637200004,20,11
117699500004,47,11
117794300004,25,11
117888000004,10,11
117894200004,30,11
117988500004,20,11
118044100004,10,11
118260000004,40,11
118952800004,25,11
119051500004,10,11
119146800004,20,11
119277200004,10,11
119434600004,37,11
119637400004,30,11
119788300004,20,11
120241500004,15,11
120311600004,15,11
120312800004,10,11
120399200004,42,11
120539300004,10,11
120595400004,30,11
120635200004,30,11
120780000004,15,11
120872800004,20,11
120965400004,30,11
121352600004,10,11
121598200004,25,11
122066200004,25,11
122090400004,27,11
122246800004,30,11
122254600004,20,11
122586300004,37,11
122604500004,40,11
122735200004,40,11
122876300004,7,11
123252700004,20,11
123255800004,5,11
123398600004,30,11
123503900004,40,11
123505100004,25,11
123505500004,25,11
123567700004,40,11
123632900004,10,11
123672300004,20,11
124776500004,30,11
124912700004,25,11
124928800004,40,11
125033800004,25,11
125040500004,30,11
125041100004,20,11
125051900004,30,11
125056300004,30,11
125130200004,30,11
125218900004,40,11
125327600004,0,11
125376000004,10,11
125577900004,25,11
125978200004,25,11
126023800004,5,11
126034300004,30,11
126038300004,10,11
126042900004,40,11
126151100004,40,11
126594800004,25,11
126623000004,30,11
126669000004,47,11
126738700004,25,11
126739100004,40,11
126797700004,20,11
126896500004,10,11
126919500004,20,11
127902200004,30,11
127952200004,40,11
128059100004,10,11
128146200004,20,11
128426000004,35,11
128503000004,30,11
128561000004,30,11
128701200004,20,11
128950900004,10,11
129217900004,20,11
129222100004,10,11
129230300004,10,11
129255100004,20,11
129311400004,10,11
129387000004,30,11
129388100004,10,11
129930300004,40,11
130016200004,30,11
130033600004,25,11
130034100004,25,11
130034300004,40,11
130100200004,40,11
130115300004,30,11
130213900004,20,11
130220200004,30,11
130242600004,20,11
130259600004,25,11
130374400004,25,11
130728200004,40,11
130743800004,20,11
130842200004,20,11
130955600004,25,11
130996400004,0,11
131099400004,25,11
131111300004,9,11
131612400004,20,11
131717500004,30,11
131744500004,25,11
131843000004,25,11
131880600004,25,11
132376400004,25,11
132393700004,25,11
132560300004,20,11
132638300004,10,11
132717100004,30,11
133039500004,20,11
133289700004,20,11
133343500004,40,11
133445700004,0,11
133477400004,37,11
133527500004,20,11
133531000004,10,11
133766700004,30,11
133820500004,20,11
133824700004,15,11
133868700004,10,11
134104100004,20,11
134165300004,10,11
134281400004,40,11
134596100004,30,11
134670800004,25,11
134707500004,37,11
134772400004,25,11
134825900004,40,11
134988400004,20,11
134990500004,25,11
135311100004,20,11
135352300004,30,11
135396600004,30,11
135774100004,37,11
135876600004,30,11
136202500004,25,11
136249200004,25,11
136307400004,30,11
136324800004,30,11
136347800004,30,11
136501900004,20,11
136512600004,42,11
136517800004,25,11
136576000004,20,11
136598100004,20,11
136604800004,20,11
136928500004,20,11
137086600004,20,11
137127500004,25,11
137213800004,25,11
137265800004,25,11
137507400004,17,11
137514500004,20,11
137514900004,32,11
138530300004,10,11
139361700004,20,11
139764500004,40,11
139796200004,9999,11
140003600004,30,11
140697200004,0,11
140720400004,20,11
141031700004,20,11
141222300004,30,11
141227800004,0,11
141326900004,40,11
141371000004,20,11
141405900004,0,11
141425400004,20,11
141491000004,40,11
141510300004,25,11
141583800004,20,11
141598600004,37,11
141730100004,25,11
141819900004,35,11
141822400004,15,11
141841800004,25,11
141865200004,37,11
141998600004,0,11
141998800004,30,11
142157900004,37,11
142573800004,25,11
142663200004,30,11
180051900004,30,11
180305000004,0,11
180952100004,20,11
181207900004,10,11
181252900004,0,11
181456600004,7,11
181537300004,20,11
181671800004,10,11
181678300004,20,11
181697800004,30,11
181704000004,30,11
181910300004,0,11
181919400004,10,11
182678100004,30,11
182693100004,0,11
183222100004,25,11
183236700004,30,11
184069300004,30,11
184125100004,25,11
184158300004,9999,11
184698800004,30,11
184921500004,37,11
184963700004,30,11
185013500004,20,11
185016900004,9998,11
185447700004,25,11
185732000004,30,11
185813000004,0,11
185854900004,0,11
